Card,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MAJORITY_COUNT,MAJORITY_PERCENT,MINORITY,MINORITY_COUNT,MINORITY_PERCENT,MEDIAN,PCT90
1761,3,2700,3,4,1,3.333333333,0.471404521,10,2,3,2,66.66670227,4,1,33.33330154,3,4
1770,3,2700,2,3,1,2.666666667,0.471404521,8,2,3,2,66.66670227,2,1,33.33330154,3,3
1771,3,2700,2,2,0,2,0,6,1,2,3,100,2,3,100,2,2
1772,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
1789,3,2700,1,2,1,1.666666667,0.471404521,5,2,2,2,66.66670227,1,1,33.33330154,2,2
1791,3,2700,2,2,0,2,0,6,1,2,3,100,2,3,100,2,2
1792,3,2700,2,3,1,2.666666667,0.471404521,8,2,3,2,66.66670227,2,1,33.33330154,3,3
1793,2,1800,2,3,1,2.5,0.5,5,2,2,1,50,2,1,50,2,3
1794,3,2700,3,4,1,3.333333333,0.471404521,10,2,3,2,66.66670227,4,1,33.33330154,3,4
1795,2,1800,2,2,0,2,0,4,1,2,2,100,2,2,100,2,2
1796,2,1800,2,2,0,2,0,4,1,2,2,100,2,2,100,2,2
1798,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
1805,3,2700,2,3,1,2.666666667,0.471404521,8,2,3,2,66.66670227,2,1,33.33330154,3,3
1816,4,3600,2,3,1,2.5,0.5,10,2,2,2,50,2,2,50,2,3
1825,3,2700,2,2,0,2,0,6,1,2,3,100,2,3,100,2,2
1831,4,3600,1,1,0,1,0,4,1,1,4,100,1,4,100,1,1
1833,2,1800,3,3,0,3,0,6,1,3,2,100,3,2,100,3,3
1835,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
1836,2,1800,1,1,0,1,0,2,1,1,2,100,1,2,100,1,1
1840,3,2700,1,2,1,1.666666667,0.471404521,5,2,2,2,66.66670227,1,1,33.33330154,2,2
1844,3,2700,2,2,0,2,0,6,1,2,3,100,2,3,100,2,2
1845,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
1876,4,3600,2,3,1,2.25,0.433012702,9,2,2,3,75,3,1,25,2,3
1889,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
1916,3,2700,1,2,1,1.666666667,0.471404521,5,2,2,2,66.66670227,1,1,33.33330154,2,2
1931,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
1936,2,1800,1,1,0,1,0,2,1,1,2,100,1,2,100,1,1
1942,4,3600,1,1,0,1,0,4,1,1,4,100,1,4,100,1,1
1979,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
1981,2,1800,3,3,0,3,0,6,1,3,2,100,3,2,100,3,3
1982,3,2700,2,3,1,2.666666667,0.471404521,8,2,3,2,66.66670227,2,1,33.33330154,3,3
2034,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
2035,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
2041,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
2042,3,2700,1,2,1,1.333333333,0.471404521,4,2,1,2,66.66670227,2,1,33.33330154,1,2
2043,3,2700,1,2,1,1.666666667,0.471404521,5,2,2,2,66.66670227,1,1,33.33330154,2,2
2107,2,1800,3,3,0,3,0,6,1,3,2,100,3,2,100,3,3
2108,4,3600,2,3,1,2.5,0.5,10,2,2,2,50,2,2,50,2,3
2111,4,3600,2,3,1,2.5,0.5,10,2,2,2,50,2,2,50,2,3
2113,3,2700,2,3,1,2.333333333,0.471404521,7,2,2,2,66.66670227,3,1,33.33330154,2,3
2115,2,1800,3,3,0,3,0,6,1,3,2,100,3,2,100,3,3
2155,3,2700,2,2,0,2,0,6,1,2,3,100,2,3,100,2,2
2158,2,1800,1,1,0,1,0,2,1,1,2,100,1,2,100,1,1
2159,3,2700,4,4,0,4,0,12,1,4,3,100,4,3,100,4,4
2163,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
2195,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
2200,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
2202,3,2700,2,3,1,2.333333333,0.471404521,7,2,2,2,66.66670227,3,1,33.33330154,2,3
2205,3,2700,2,2,0,2,0,6,1,2,3,100,2,3,100,2,2
2208,3,2700,1,1,0,1,0,3,1,1,3,100,1,3,100,1,1
2210,3,2700,2,3,1,2.333333333,0.471404521,7,2,2,2,66.66670227,3,1,33.33330154,2,3
2211,2,1800,3,4,1,3.5,0.5,7,2,3,1,50,3,1,50,3,4
2212,2,1800,3,3,0,3,0,6,1,3,2,100,3,2,100,3,3
2213,2,1800,1,2,1,1.5,0.5,3,2,1,1,50,1,1,50,1,2
2251,3,2700,2,2,0,2,0,6,1,2,3,100,2,3,100,2,2
2253,2,1800,1,1,0,1,0,2,1,1,2,100,1,2,100,1,1
2269,2,1800,1,1,0,1,0,2,1,1,2,100,1,2,100,1,1
2271,4,3600,1,1,0,1,0,4,1,1,4,100,1,4,100,1,1
2272,3,2700,2,3,1,2.666666667,0.471404521,8,2,3,2,66.66670227,2,1,33.33330154,3,3
2311,2,1800,3,3,0,3,0,6,1,3,2,100,3,2,100,3,3
2312,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
2317,4,3600,3,3,0,3,0,12,1,3,4,100,3,4,100,3,3
2318,2,1800,3,3,0,3,0,6,1,3,2,100,3,2,100,3,3
2334,3,2700,1,1,0,1,0,3,1,1,3,100,1,3,100,1,1
2336,3,2700,3,4,1,3.333333333,0.471404521,10,2,3,2,66.66670227,4,1,33.33330154,3,4
2378,2,1800,3,3,0,3,0,6,1,3,2,100,3,2,100,3,3
2379,4,3600,2,3,1,2.5,0.5,10,2,2,2,50,2,2,50,2,3
2380,4,3600,2,2,0,2,0,8,1,2,4,100,2,4,100,2,2
2412,2,1800,3,4,1,3.5,0.5,7,2,3,1,50,3,1,50,3,4
2414,3,2700,1,1,0,1,0,3,1,1,3,100,1,3,100,1,1
2460,2,1800,3,4,1,3.5,0.5,7,2,3,1,50,3,1,50,3,4
2523,2,1800,1,2,1,1.5,0.5,3,2,1,1,50,1,1,50,1,2
2626,4,3600,2,3,1,2.75,0.433012702,11,2,3,3,75,2,1,25,3,3
2644,3,2700,2,3,1,2.333333333,0.471404521,7,2,2,2,66.66670227,3,1,33.33330154,2,3
2646,3,2700,1,2,1,1.666666667,0.471404521,5,2,2,2,66.66670227,1,1,33.33330154,2,2
2647,3,2700,3,4,1,3.333333333,0.471404521,10,2,3,2,66.66670227,4,1,33.33330154,3,4
2662,3,2700,1,1,0,1,0,3,1,1,3,100,1,3,100,1,1
2664,3,2700,3,4,1,3.333333333,0.471404521,10,2,3,2,66.66670227,4,1,33.33330154,3,4
