"","SampleSite_ID","Species","Plot_Sp","total","x0","x10","x30","x130","X","UNIQUE_ID","Contract","Zone","Easting","Northing","Coordinate_source","Latitude","Longitude","Aspect","Elevation","Slope","TWI","BEC_Zone","BEC_Subzone","BEC_Variant","Solar_Radiation","PARENT_SOILS","SOILNAME_1","TEXTURE_1","PERCENT_1","DRAIN_1","COFRAG_1","SOILNAME_2","TEXTURE_2","PERCENT_2","DRAIN_2","COFRAG_2","SOILNAME_3","TEXTURE_3","PERCENT_3","DRAIN_3","COFRAG_3","FIRE_NUMBER_1","FIRE_YEAR_1","BURN_SEVERITY_RATING_1","FIRE_DATE_1","PATCH_SIZE_1","CROWN_CLOSURE_1","SPECIES_CD_1_1","SPECIES_PCT_1_1","PROJ_AGE_1_1","PROJ_HEIGHT_1_1","SPECIES_CD_2_1","SPECIES_PCT_2_1","PROJ_AGE_2_1","PROJ_HEIGHT_2_1","SPECIES_CD_3_1","SPECIES_PCT_3_1","SPECIES_CD_4_1","SPECIES_PCT_4_1","SPECIES_CD_5_1","SPECIES_PCT_5_1","SPECIES_CD_6_1","SPECIES_PCT_6_1","DISTURBANCE_TYPE_1","DISTURBANCE_DATE_1","HARVEST_DATE_1","FIRE_NUMBER_2","FIRE_YEAR_2","BURN_SEVERITY_RATING_2","FIRE_DATE_2","PATCH_SIZE_2","CROWN_CLOSURE_2","SPECIES_CD_1_2","SPECIES_PCT_1_2","PROJ_AGE_1_2","PROJ_HEIGHT_1_2","SPECIES_CD_2_2","SPECIES_PCT_2_2","PROJ_AGE_2_2","PROJ_HEIGHT_2_2","SPECIES_CD_3_2","SPECIES_PCT_3_2","SPECIES_CD_4_2","SPECIES_PCT_4_2","SPECIES_CD_5_2","SPECIES_PCT_5_2","SPECIES_CD_6_2","SPECIES_PCT_6_2","DISTURBANCE_TYPE_2","DISTURBANCE_DATE_2","HARVEST_DATE_2","DISTANCE_TO_PERIMETER","Card","Beers_aspect","Azimuth","Distance"
"577",1739,"PLI","1739PLI",6,0,5,1,0,321,317,"",10,416457.7119,5804170.424,"Field lat/long",52.38141441,-124.2274034,131.0548096,1231,10.27740192,6.187245846,"SBPS","xc",NA,1076489.228,"ROCK ","NO SOILS DATA","",0,"",0,"","",0,"",0,"","",0,"",0,"C10784",2017,"Low","2017-07-07",22.64181715,21,"PLI",94,89,7.699999809,"FDI",6,68,7.300000191,"",NA,"",NA,NA,NA,NA,NA,"IBM","2003-08-01","","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,290.5547854,1739,1.12529086303681,"E","7.4"
"578",1754,"PLI","1754PLI",2040,0,928,1112,0,315,318,"",10,476629,5801247,"Field UTM",52.36100607,-123.3432024,228.0127869,1169,6.726811886,8.402852058,"SBPS","xc",NA,1053566.451,"GLACIOFLUVIAL ","SALT LAKE","SIL",60,"W",19,"TYEE","SL",40,"MW",20,"","-",NA,"",NA,"C10784",2017,"Medium","2017-07-07",7370.614425,20,"PLI",80,103,10.19999981,"AT",11,111,14.80000019,"FDI",5,"SX",4,NA,NA,NA,NA,"IBM","2003-08-01","","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,207.2858556,1754,1.30103132678778,"W","253.3"
"579",1757,"PLI","1757PLI",545,10,30,505,0,320,319,"",10,480512,5801476,"Field UTM",52.36321668,-123.2861948,236.3099365,1248,3.605551243,7.2347188,"SBPS","xc",NA,1054195.277,"TILL ","TYEE","SL",85,"W",NA,"UNDIFFERENTIATED BEDROCK","-",15,"-",NA,"","-",NA,"",NA,"C10784",2017,"Medium","2017-07-07",7370.614425,45,"PLI",93,102,14.39999962,"SX",5,91,14,"AT",2,"",NA,NA,NA,NA,NA,"IBM","2003-08-01","","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,392.7850426,1757,0.00942371774417083,"W","150.7"
"580",1759,"PLI","1759PLI",5,0,0,5,0,324,320,"",10,482198,5801523,"Field UTM",52.36369659,-123.2614375,40.23635864,1262,8.51469326,7.068547249,"SBPS","dc",NA,1001834.179,"TILL ","TYEE","SL",85,"W",NA,"UNDIFFERENTIATED BEDROCK","-",15,"-",NA,"","-",NA,"",NA,"C10784",2017,"Low","2017-07-07",7.444718059,3,"PLI",100,27,5,"",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"","","1987-01-01","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,88.24595855,1759,0.598314155588931,"N","4.9"
"581",1760,"NonCon","1760NonCon",17,0,3,12,2,316,321,"",10,485516,5801258,"Field UTM",52.36141189,-123.2126988,4.398705482,1173,6.519202232,9.532813072,"SBPS","dc",NA,991068.7402,"GLACIOFLUVIAL ","TYEE","SL",85,"W",NA,"UNDIFFERENTIATED BEDROCK","-",15,"-",NA,"","-",NA,"",NA,"C10784",2017,"Unburned","2017-07-07",3432.304877,2,"PLI",50,9,2.5,"SX",40,9,0.5,"AT",10,"",NA,NA,NA,NA,NA,"","","2005-08-05","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,-1,1760,0.237753321055152,"N","16.2"
"582",1760,"PLI","1760PLI",17,5,4,8,0,316,321,"",10,485516,5801258,"Field UTM",52.36141189,-123.2126988,4.398705482,1173,6.519202232,9.532813072,"SBPS","dc",NA,991068.7402,"GLACIOFLUVIAL ","TYEE","SL",85,"W",NA,"UNDIFFERENTIATED BEDROCK","-",15,"-",NA,"","-",NA,"",NA,"C10784",2017,"Unburned","2017-07-07",3432.304877,2,"PLI",50,9,2.5,"SX",40,9,0.5,"AT",10,"",NA,NA,NA,NA,NA,"","","2005-08-05","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,-1,1760,0.237753321055152,"N","16.2"
"583",1760,"SX","1760SX",59,53,6,0,0,316,321,"",10,485516,5801258,"Field UTM",52.36141189,-123.2126988,4.398705482,1173,6.519202232,9.532813072,"SBPS","dc",NA,991068.7402,"GLACIOFLUVIAL ","TYEE","SL",85,"W",NA,"UNDIFFERENTIATED BEDROCK","-",15,"-",NA,"","-",NA,"",NA,"C10784",2017,"Unburned","2017-07-07",3432.304877,2,"PLI",50,9,2.5,"SX",40,9,0.5,"AT",10,"",NA,NA,NA,NA,NA,"","","2005-08-05","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,-1,1760,0.237753321055152,"N","16.2"
"584",1761,"PLI","1761PLI",5,0,2,3,0,322,322,"",10,489519,5801100,"Field UTM",52.36008259,-123.1539098,178.0250702,1277,7.254309177,6.535597801,"SBPS","dc",NA,1088257.403,"TILL ","TYEE","SL",85,"W",NA,"UNDIFFERENTIATED BEDROCK","-",15,"-",NA,"","-",NA,"",NA,"C10784",2017,"Medium","2017-07-07",7370.614425,15,"PLI",80,23,7.800000191,"AT",20,23,9.399999619,"",NA,"",NA,NA,NA,NA,NA,"","","1992-10-01","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,239.7248053,1761,1.02800454313504,"S","226.5"
"585",1770,"PLI","1770PLI",682,9,401,272,0,329,323,"",10,414504.0952,5805247.557,"Field lat/long",52.39079441,-124.2563734,251.5650482,1175,2.371708155,12.35406303,"SBPS","xc",NA,1036781.22,"TILL ","NO SOILS DATA","",0,"",0,"","",0,"",0,"","",0,"",0,"C10784",2017,"Medium","2017-07-07",6750.045527,35,"PLI",97,77,9.399999619,"SX",3,133,14.39999962,"",NA,"",NA,NA,NA,NA,NA,"IBM","2003-08-01","","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,827.6185506,1770,1.95065451845045,"W","17.1"
"586",1771,"PLI","1771PLI",231,11,165,55,0,330,324,"",10,415503.2857,5805205.822,"Field lat/long",52.39057441,-124.2416834,197.2414551,1234,7.591113091,6.490215302,"SBPS","xc",NA,1081833.432,"TILL ","NO SOILS DATA","",0,"",0,"","",0,"",0,"","",0,"",0,"C10784",2017,"Medium","2017-07-07",6750.045527,37,"PLI",97,102,11.10000038,"AT",2,104,14.39999962,"SX",1,"",NA,NA,NA,NA,NA,"IBM","2003-08-01","","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,916.5106076,1771,0.667624860674491,"S","7"
