"","Contract","Plot ID","Zone","Easting","Northing","Coordinate source","FDI_count_bin","PLI_count_bin","Spruce_count_bin","Species_1"
"76",NA,585,10,494239,5746972,"Field UTM",1,1,0,"FDI"
"77",NA,618,10,486282,5748289,"Field UTM",1,0,0,"FDI"
"78",NA,620,10,490279,5748135,"Field UTM",1,1,0,"FDI"
"79",NA,653,10,473312,5749837,"Field UTM",1,1,0,"FDI"
"80",NA,657,10,480319,5749571,"Field UTM",1,1,0,"FDI"
"81",NA,659,10,482316,5749477,"Field UTM",1,0,0,"FDI"
"82",NA,661,10,488325,5749225,"Field UTM",1,1,0,"FDI"
"83",NA,662,10,489321,5749178,"Field UTM",1,0,0,"FDI"
"84",NA,666,10,493317,5749005,"Field UTM",1,0,0,"FDI"
"85",NA,669,10,496322,5748876,"Field UTM",1,0,0,"FDI"
"86",NA,707,10,482358,5750475,"Field UTM",1,0,0,"FDI"
"87",NA,708,10,483356,5750428,"Field UTM",1,0,0,"FDI"
"88",NA,711,10,486361,5750273,"Field UTM",1,0,0,"FDI"
"89",NA,717,10,493365,5750006,"Field UTM",1,0,0,"FDI"
"90",NA,718,10,494372,5749963,"Field UTM",0,1,0,"FDI"
"91",NA,719,10,498368,5749790,"Field UTM",1,0,0,"FDI"
"92",NA,758,10,475398,5751767,"Field UTM",0,0,0,"PLI"
"93",NA,761,10,482400,5751466,"Field UTM",1,1,0,"FDI"
"94",NA,766,10,492406,5751053,"Field UTM",0,0,0,"FDI"
"95",NA,801,10,455430,5753601,"Field UTM",1,1,0,"FDI"
"96",NA,806,10,474442,5752807,"Field UTM",1,0,0,"FDI"
"97",NA,808,10,478441,5752637,"Field UTM",1,1,0,"FDI"
"98",NA,810,10,483441,5752427,"Field UTM",1,1,0,"FDI"
"99",NA,812,10,485446,5752347,"Field UTM",1,1,1,"AT"
"100",NA,814,10,473086.8979,5791804.623,"Intended lat/long",1,0,0,"FDI"
"101",NA,815,10,492447,5752042,"Field UTM",1,0,0,"FDI"
"102",NA,844,10,449472,5754854,"Field UTM",0,1,0,"PLI"
"103",NA,845,10,450467,5754804,"Field UTM",0,1,0,"PLI"
"104",NA,846,10,451469,5754762,"Field UTM",0,1,0,"PLI"
"105",NA,847,10,452470,5754730,"Field UTM",1,1,0,"PLI"
"106",NA,851,10,456476,5754561,"Field UTM",0,1,0,"PLI"
"107",NA,852,10,457467,5754516,"Field UTM",0,1,0,"PLI"
"108",NA,857,10,475478,5753759,"Field UTM",1,0,0,"FDI"
"109",NA,859,10,477481,5753671,"Field UTM",1,0,1,"FDI"
"110",NA,860,10,478481,5753632,"Field UTM",1,1,1,"FDI"
"111",NA,865,10,486487,5753291,"Field UTM",0,0,0,"FDI"
"112",NA,892,10,449514,5755843,"Field UTM",0,1,0,"PLI"
"113",NA,893,10,450518,5755804,"Field UTM",0,1,0,"PLI"
"114",NA,894,10,451512,5755766,"Field UTM",0,1,0,"PLI"
"115",NA,895,10,452510,5755723,"Field UTM",1,1,0,"PLI"
"116",NA,899,10,456515,5755554,"Field UTM",0,1,0,"PLI"
"117",NA,900,10,475527,5754757,"Field UTM",1,1,1,"PLI"
"118",NA,903,10,482527,5754459,"Field UTM",1,1,0,"FDI"
"119",NA,907,10,497534,5753821,"Field UTM",1,0,0,"FDI"
"120",NA,933,10,455552,5756596,"Field UTM",1,0,0,"FDI"
"121",NA,939,10,478567,5755623,"Field UTM",0,0,0,"FDI"
"122",NA,949,10,498585,5754777,"Field UTM",1,1,0,"FDI"
"123",NA,974,10,455597,5757592,"Field UTM",0,1,0,"PLI"
"124",NA,981,10,480608,5756546,"Field UTM",1,0,0,"FDI"
"125",NA,988,10,495616,5755899,"Field UTM",1,1,0,"PLI"
"126",NA,1012,10,454638,5758632,"Field UTM",0,1,0,"PLI"
"127",NA,1022,10,494662,5756938,"Field UTM",0,0,0,"FDI"
"128",NA,1024,10,499668,5756731,"Field UTM",1,0,0,"FDI"
"129",NA,1045,10,482710,5758459,"Field UTM",1,0,0,"FDI"
"130",NA,1049,10,494703,5757939,"Field UTM",1,1,0,"FDI"
"131",NA,1050,10,496703,5757855,"Field UTM",0,1,0,"PLI"
"132",NA,1052,10,498708,5757769,"Field UTM",0,1,1,""
"133",NA,1053,10,499706,5757731,"Field UTM",1,1,0,"PLI"
"134",NA,1068,10,455723,5760582,"Field UTM",1,1,0,"PLI"
"135",NA,1069,10,456723,5760539,"Field UTM",0,1,0,"PLI"
"136",NA,1075,10,483738,5759396,"Field UTM",1,0,0,"FDI"
"137",NA,1080,10,494747,5758936,"Field UTM",0,0,1,"PLI"
"138",NA,1099,10,455766,5761578,"Field UTM",1,0,0,"FDI"
"139",NA,1108,10,483787,5860401,"Field UTM",1,0,0,"FDI"
"140",NA,1109,10,484781,5760359,"Field UTM",0,0,0,"FDI"
"141",NA,1110,10,486782,5760270,"Field UTM",1,0,0,"FDI"
"142","Elhdaqox",1111,10,473236,5742071,"Field UTM",1,1,0,"FDI"
"143","Toosey",1111,10,491788,5760060,"Field UTM",1,1,0,"FDI"
"144",NA,1113,10,495795,5759894,"Field UTM",0,1,0,"PLI"
"145",NA,1114,10,497790,5759808,"Field UTM",0,1,0,"PLI"
"146",NA,1115,10,499790,5759721,"Field UTM",0,1,0,"PLI"
"147",NA,1139,10,476822,5761694,"Field UTM",1,1,0,"FDI"
"148",NA,1142,10,485823,5761308,"Field UTM",1,0,0,"FDI"
"149",NA,1144,10,492855,5761016,"Field UTM",1,1,0,"FDI"
"150",NA,1145,10,493826,5760968,"Field UTM",0,1,0,"PLI"
"151",NA,1148,10,496850,5760848,"Field UTM",0,1,0,"PLI"
"152",NA,1160,10,444849,5764035,"Field UTM",0,1,0,"PLI"
"153",NA,1180,10,492871,5762011,"Field UTM",1,1,0,"PLI"
"154",NA,1182,10,494880,5761926,"Field UTM",1,1,0,"PLI"
"155",NA,1185,10,498880,5761759,"Field UTM",0,1,0,"PLI"
"156",NA,1186,10,499876,5761710,"Field UTM",0,1,0,"PLI"
"157",NA,1200,10,444882,5765033,"Field UTM",0,1,0,"PLI"
"158",NA,1207,10,461897,5764318,"Field UTM",1,1,0,"PLI"
"159",NA,1209,10,463898,5764232,"Field UTM",0,1,0,""
"160",NA,1214,10,478908,5763603,"Field UTM",1,1,0,"FDI"
"161",NA,1219,10,483907,5763389,"Field UTM",1,0,0,"FDI"
"162",NA,1220,10,492909,5763008,"Field UTM",1,0,0,"FDI"
"163",NA,1221,10,493910,5762962,"Field UTM",1,1,0,"PLI"
"164",NA,1222,10,494914,5762922,"Field UTM",1,1,0,"FDI"
"165",NA,1225,10,499922,5762710,"Field UTM",1,1,0,"PLI"
"166",NA,1235,10,444935,5766031,"Field UTM",1,1,0,"PLI"
"167",NA,1247,10,465936,5765152,"Field UTM",1,1,0,"PLI"
"168",NA,1253,10,479951,5764554,"Field UTM",1,0,0,"FDI"
"169",NA,1257,10,491954,5764043,"Field UTM",1,0,0,"FDI"
"170",NA,1258,10,492953,5764009,"Field UTM",1,0,0,"FDI"
"171",NA,1259,10,493954,5763964,"Field UTM",1,1,0,"FDI"
"172",NA,1261,10,495958,5763876,"Field UTM",1,0,0,"FDI"
"173",NA,1264,10,499969,5763708,"Field UTM",0,1,0,"PLI"
"174",NA,1272,10,444966,5767025,"Field UTM",0,1,0,"PLI"
"175",NA,1273,10,445971,5766989,"Field UTM",0,1,0,"PLI"
"176",NA,1276,10,449977,5766820,"Field UTM",0,1,0,"PLI"
"177",NA,1294,10,491999,5765048,"Field UTM",1,0,1,"FDI"
"178",NA,1295,10,492990,5765004,"Field UTM",1,0,0,"FDI"
"179",NA,1297,10,495005,5764916,"Field UTM",0,0,0,"FDI"
"180",NA,1298,10,496001,5764873,"Field UTM",1,0,0,"FDI"
"181",NA,1299,10,496989,5764837,"Field UTM",1,0,0,"FDI"
"182",NA,1319,10,448013,5767892,"Field UTM",0,1,0,"PLI"
"183",NA,1320,10,449015,5767852,"Field UTM",0,1,0,"PLI"
"184",NA,1321,10,450017,5767814,"Field UTM",1,1,0,"PLI"
"185",NA,1322,10,451016,5767761,"Field UTM",1,1,0,"PLI"
"186",NA,1333,10,482034,5766460,"Field UTM",1,0,1,"FDI"
"187",NA,1335,10,493042,5765997,"Field UTM",1,1,1,"PLI"
"188",NA,1340,10,499046,5765741,"Field UTM",0,1,0,"PLI"
"189",NA,1341,10,500050,5765697,"Field UTM",0,1,0,"PLI"
"190",NA,1356,10,451071,5768783,"Field UTM",0,1,0,"PLI"
"191",NA,1362,10,468044,5768025,"Field UTM",0,0,0,"PLI"
"192",NA,1364,10,479080,5767591,"Field UTM",1,0,0,"FDI"
"193",NA,1367,10,497089,5766822,"Field UTM",1,1,0,"FDI"
"194",NA,1398,10,495171,5768898,"Field UTM",1,1,1,"PLI"
"195",NA,1400,10,498166,5768773,"Field UTM",0,1,0,"PLI"
"196",NA,1401,10,499187,5768734,"Field UTM",1,1,0,"Spruce"
"197",NA,1413,10,494256,5770943,"Field UTM",0,1,1,"Spruce"
"198",NA,1421,10,482292,5772446,"Field UTM",0,1,0,"PLI"
"199",NA,1422,10,483284,5772396,"Field UTM",0,1,0,"AT"
"200",NA,1423,10,494297,5771933,"Field UTM",0,0,0,"PLI"
"201",NA,1425,10,496300,5771847,"Field UTM",1,1,1,"PLI"
"202",NA,1430,10,473316,5773826,"Field UTM",1,0,0,"FDI"
"203",NA,1438,10,466449,5777107,"Field UTM",1,1,0,"PLI"
"204",NA,1440,10,473449,5776814,"Field UTM",0,1,0,"FDI"
"205",NA,1450,10,472493,5777849,"Field UTM",0,1,0,"PLI"
"206","CCR",1460,10,468542,5779019,"Field UTM",1,0,0,"FDI"
"207","Toosey",1460,10,468557,5778977,"Field UTM",1,0,0,"FDI"
"208","CCR",1461,10,472530,5778859,"Field UTM",0,1,0,"PLI"
"209","Toosey",1461,10,472556,5778822,"Field UTM",0,1,0,"PLI"
"210","CCR",1467,10,469573,5779970,"Field UTM",0,0,0,"PLI"
"211","Toosey",1467,10,469597,5779935,"Field UTM",0,0,0,"PLI"
"212",NA,1476,10,425671.8046,5784812.604,"Field lat/long",0,1,0,"PLI"
"213",NA,1478,10,473707,5782792,"Field UTM",1,1,0,"PLI"
"214",NA,1479,10,424712.9534,5785851.452,"Field lat/long",0,0,0,"PLI"
"215",NA,1481,10,426714.6897,5785766.8,"Field lat/long",0,1,0,"PLI"
"216",NA,1482,10,471747.9129,5783873.245,"Intended lat/long",0,0,0,"AT"
"217","CCR",1485,10,431720.2039,5785553.973,"Field lat/long",0,1,0,"FDI"
"218",NA,1487,10,471743,5783877,"Field UTM",0,1,0,""
"219",NA,1498,10,428757.6618,5786679.014,"Field lat/long",0,1,0,"FDI"
"220",NA,1505,10,436764.9112,5786341.323,"Field lat/long",0,1,0,"PLI"
"221",NA,1507,10,469788,5784958,"Field UTM",1,1,0,"FDI"
"222",NA,1508,10,474797,5784749,"Field UTM",0,1,0,"PLI"
"223",NA,1510,10,425796.4417,5787801.724,"Field lat/long",0,0,0,"PLI"
"224",NA,1511,10,428456.5304,5898991.768,"Field lat/long",0,1,0,"PLI"
"225",NA,1518,10,435810.6433,5787382.816,"Field lat/long",0,1,0,"PLI"
"226",NA,1522,10,439808.6191,5787214.887,"Field lat/long",0,1,0,"PLI"
"227",NA,1526,10,474828,5785744,"Field UTM",0,1,0,""
"228",NA,1527,10,425838.9111,5788798.643,"Field lat/long",0,1,0,"PLI"
"229",NA,1529,10,427840.0171,5788714.984,"Field lat/long",0,1,0,"PLI"
"230",NA,1535,10,467868,5787040,"Field UTM",0,1,0,"FDI"
"231",NA,1538,10,470873,5786906,"Field UTM",0,1,0,"PLI"
"232",NA,1539,10,473870,5786778,"Field UTM",0,1,0,"PLI"
"233",NA,1540,10,475877,5786695,"Field UTM",0,1,0,"PLI"
"234",NA,1542,10,426885.7412,5789758.03,"Field lat/long",0,1,0,"PLI"
"235",NA,1544,10,428885.5608,5789668.796,"Field lat/long",0,1,0,"FDI"
"236",NA,1552,10,430927.4045,5790580.992,"Field lat/long",1,0,0,"PLI"
"237",NA,1554,10,468964,5788981,"Field UTM",0,1,0,"PLI"
"238",NA,1557,10,473035,5788973,"Field UTM",0,1,0,"PLI"
"239",NA,1558,10,474041,5788991,"Field UTM",0,1,0,"PLI"
"240",NA,1559,10,474962,5788727,"Field UTM",0,1,0,"PLI"
"241",NA,1560,10,475898,5788728,"Field UTM",0,1,1,"Spruce"
"242",NA,1562,10,426967.7328,5791749.257,"Field lat/long",1,1,0,"FDI"
"243",NA,1564,10,433971.4988,5791452.49,"Field lat/long",0,1,0,"PLI"
"244",NA,1567,10,471001,5789895,"Field UTM",0,1,0,"PLI"
"245",NA,1569,10,473184,5789913,"Field UTM",0,1,0,"PLI"
"246",NA,1571,10,475001,5789731,"Field UTM",0,1,0,"PLI"
"247",NA,1573,10,481131,5789573,"Field UTM",0,1,0,"PLI"
"248",NA,1577,10,473355,5790705,"Field UTM",0,1,0,"PLI"
"249",NA,1578,10,474139,5790807,"Field UTM",0,1,0,"PLI"
"250",NA,1579,10,475049,5790722,"Field UTM",0,1,0,"PLI"
"251",NA,1580,10,479792,5790908,"Field UTM",0,1,0,""
"252",NA,1581,10,471087,5791891,"Field UTM",0,1,0,"PLI"
"253",NA,1583,10,473115,5792004,"Field UTM",0,1,0,"PLI"
"254",NA,1584,10,475086,5791726,"Field UTM",0,1,0,"PLI"
"255",NA,1587,10,480092,5791506,"Field UTM",0,1,0,"PLI"
"256",NA,1589,10,465934,5793145,"Field UTM",0,1,0,"PLI"
"257",NA,1590,10,466978,5793314,"Field UTM",0,1,1,"Spruce"
"258",NA,1591,10,469418,5793385,"Field UTM",0,1,0,"PLI"
"259",NA,1592,10,471161,5792907,"Field UTM",0,1,0,""
"260",NA,1594,10,477130,5792635,"Field UTM",0,1,0,""
"261",NA,1596,10,479620,5792444,"Field UTM",1,1,0,""
"262",NA,1598,10,481135,5792469,"Field UTM",0,1,0,"PLI"
"263",NA,1601,10,484136,5792334,"Field UTM",0,1,0,"PLI"
"264",NA,1602,10,467165,5794054,"Field UTM",0,1,0,"Spruce"
"265",NA,1604,10,469167,5793971,"Field UTM",0,1,0,"PLI"
"266",NA,1605,10,477178,5793638,"Field UTM",0,1,0,""
"267",NA,1606,10,478166,5793581,"Field UTM",0,1,0,"PLI"
"268",NA,1607,10,479174,5793545,"Field UTM",0,1,0,""
"269",NA,1608,10,480866,5794033,"Field UTM",0,1,0,"PLI"
"270",NA,1609,10,480791,5793613,"Field UTM",0,1,0,"PLI"
"271",NA,1612,10,463210,5795212,"Field UTM",0,1,0,"PLI"
"272",NA,1615,10,467126,5794626,"Field UTM",0,1,0,"PLI"
"273",NA,1617,10,470331,5794531,"Field UTM",0,1,1,"PLI"
"274",NA,1619,10,479035,5794807,"Field UTM",0,1,0,"PLI"
"275",NA,1620,10,480227,5794510,"Field UTM",0,1,0,"PLI"
"276",NA,1623,10,483141,5794397,"Field UTM",0,0,0,"PLI"
"277",NA,1624,10,486260,5794295,"Field UTM",0,1,0,""
"278",NA,1625,10,463108,5796288,"Field UTM",0,1,0,"Spruce"
"279",NA,1627,10,468243,5795822,"Field UTM",0,1,1,"PLI"
"280",NA,1628,10,470255,5795922,"Field UTM",0,1,0,""
"281",NA,1630,10,478257,5795579,"Field UTM",0,1,0,"PLI"
"282",NA,1631,10,480184,5795481,"Field UTM",0,1,0,"PLI"
"283",NA,1634,10,485262,5795281,"Field UTM",0,1,0,"PLI"
"284",NA,1635,10,486268,5795236,"Field UTM",0,1,0,"PLI"
"285",NA,1637,10,465712,5797744,"Field UTM",0,1,0,"PLI"
"286",NA,1640,10,468292,5797000,"Field UTM",0,0,0,"PLI"
"287",NA,1643,10,475840,5796894,"Field UTM",0,1,0,"PLI"
"288",NA,1644,10,476102,5796565,"Field UTM",0,1,0,"PLI"
