,,Contract,Plot ID,Zone,Easting,Northing,Coordinate source,FDI_count_bin,PLI_count_bin,Sx_count_bin,Distance to FDI (m),Distance to PLI (m),Distance to Sx (m),Distance to tree,notes,notes 2,
0,,NA,585,10,494239,5746972,Field UTM,1,1,0,,,,30.2,,,
L,,NA,618,10,486282,5748289,Field UTM,1,0,0,,,,,,Live tree on plot,
L,,NA,620,10,490279,5748135,Field UTM,1,1,0,,,,,,Live tree on plot,
L,,NA,653,10,473312,5749837,Field UTM,1,1,0,,,,,,Live tree on plot,
0,,NA,657,10,480319,5749571,Field UTM,1,1,0,,,,8.4,,,
0,-0.3,NA,659,10,482316,5749477,Field UTM,1,0,0,,,,40.7,,,
L,,NA,661,10,488325,5749225,Field UTM,1,1,0,,,,,,Live tree on plot,
L,,NA,662,10,489321,5749178,Field UTM,1,0,0,,,,,,Live tree on plot,
0,,NA,666,10,493317,5749005,Field UTM,1,0,0,,,,5.3,,,
L,,NA,669,10,496322,5748876,Field UTM,1,0,0,,,,,,Live tree on plot,
0,,NA,707,10,482358,5750475,Field UTM,1,0,0,,,,15.9,,Live tree on plot,
0,,NA,708,10,483356,5750428,Field UTM,1,0,0,,,,66.7,,,
0,,NA,711,10,486361,5750273,Field UTM,1,0,0,,,,18.1,,,
0,,NA,717,10,493365,5750006,Field UTM,1,0,0,,,,4.7,,,
0,,NA,718,10,494372,5749963,Field UTM,0,1,0,,,,19.8,,,
0,-0.2,NA,719,10,498368,5749790,Field UTM,1,0,0,,,,53.5,,,
0,,NA,758,10,475398,5751767,Field UTM,0,0,0,,,,44.4,in a marsh,,
0,,NA,761,10,482400,5751466,Field UTM,1,1,0,,,,25.5,,,
0,,NA,766,10,492406,5751053,Field UTM,0,0,0,,,,10.7,,,
L,,NA,801,10,455430,5753601,Field UTM,1,1,0,,,,,,Live tree on plot,
0,,NA,806,10,474442,5752807,Field UTM,1,0,0,,,,8.1,,,
0,,NA,808,10,478441,5752637,Field UTM,1,1,0,,,,8.7,,,
L,,NA,810,10,483441,5752427,Field UTM,1,1,0,,,,,,Live tree on plot,
0,,NA,812,10,485446,5752347,Field UTM,1,1,1,,,,4.6,,,
L,,NA,814,10,473086.8979,5791804.623,Intended lat/long,1,0,0,,,,,,Live tree on plot,
L,,NA,815,10,492447,5752042,Field UTM,1,0,0,,,,,,Live tree on plot,
0,0,NA,844,10,449472,5754854,Field UTM,0,1,0,,,,74.1,,,
0,,NA,845,10,450467,5754804,Field UTM,0,1,0,,,,399.7,,,
0,,NA,846,10,451469,5754762,Field UTM,0,1,0,,,,64,,,
L,,NA,847,10,452470,5754730,Field UTM,1,1,0,,,,,,Live tree on plot,
L,,NA,851,10,456476,5754561,Field UTM,0,1,0,,,,,,Live tree on plot,
0,,NA,852,10,457467,5754516,Field UTM,0,1,0,,,,36.2,,,
0,,NA,857,10,475478,5753759,Field UTM,1,0,0,,,,32.5,,,
0,,NA,859,10,477481,5753671,Field UTM,1,0,1,,,,17.6,,,
0,,NA,860,10,478481,5753632,Field UTM,1,1,1,,,,18.8,,,
0,-1.2,NA,865,10,486487,5753291,Field UTM,0,0,0,,,,89.2,,,
0,,NA,892,10,449514,5755843,Field UTM,0,1,0,,,,698.3,,,
0,,NA,893,10,450518,5755804,Field UTM,0,1,0,,,,585.3,,,
0,,NA,894,10,451512,5755766,Field UTM,0,1,0,,,,89.1,,,
L,,NA,895,10,452510,5755723,Field UTM,1,1,0,,,,,,Live tree on plot,
0,,NA,899,10,456515,5755554,Field UTM,0,1,0,,,,278.4,,,
L,,NA,900,10,475527,5754757,Field UTM,1,1,1,,,,,,Live tree on plot,
