SampleSite_ID,dNBR,BARC
535,0.470161895,3
536,0.291561194,3
538,0.434538633,3
540,0.45494806,3
541,0.552294001,3
545,0.598856638,3
574,0.175390795,2
577,0.210999399,2
581,0.501834974,3
585,0.405276462,3
618,0.274399731,2
620,0.424373398,3
653,0.257207846,2
657,0.418671206,3
659,0.618187159,3
661,0.314487968,3
662,0.272810131,2
666,0.19913495,2
669,0.229834229,2
707,0.493926297,3
708,0.921246489,4
711,0.51401303,3
717,0.319257788,3
718,0.510639747,3
719,0.587300211,3
758,0.089540039,1
761,0.284352019,3
766,0.345246084,3
806,0.222161923,2
808,0.467059605,3
810,0.316302642,3
812,0.297828987,3
815,0.125776751,2
857,0.482222214,3
859,0.392074391,3
860,0.530229084,3
865,0.84887749,4
900,0.339405989,3
903,0.47449257,3
907,0.764756958,4
939,0.604821563,3
949,0.384845048,3
981,0.337217659,3
988,0.581643365,3
1022,0.819709877,4
1024,0.712111413,4
1045,0.211567745,2
1049,0.459319487,3
1050,0.523358405,3
1052,0.312142756,3
1053,0.247071952,2
1075,0.226115439,2
1080,0.693144917,4
1109,0.483920475,3
1110,0.263774194,2
1111,0.559000143,3
1113,0.558576047,3
1114,0.48767519,3
1115,0.495502636,3
1139,0.093576387,1
1142,0.256576558,2
1144,0.409727037,3
1145,0.725941226,4
1148,0.606155634,3
1180,0.319381457,3
1182,0.272646646,2
1185,0.31021636,3
1186,0.659044713,3
1214,0.2569502,2
1219,0.144616743,2
1220,0.178535625,2
1221,0.707879871,4
1222,0.307386816,3
1225,0.20573245,2
1253,0.334785506,3
1257,0.277446181,3
1258,0.342029087,3
1259,0.287131488,3
1261,0.145137,2
1264,0.483541578,3
1294,0.242060736,2
1295,0.156744286,2
1297,0.830353876,4
1298,0.980399817,4
1299,0.318939159,3
1333,0.433829769,3
1335,0.244845405,2
1340,0.286740204,3
1341,0.271747167,2
1364,0.340277452,3
1367,0.626844267,3
1398,0.179821948,2
1400,0.759770274,4
1401,0.592625082,3
1413,0.326555113,3
1423,0.181128333,2
1425,0.367843608,3
1807,0.423165431,3
1153,0.366770342,3
1182,0.272646646,2
1500,0.067538789,1
1501,0.648437063,3
1502,0.290752709,3
1503,0.237830187,2
1531,0.249734784,2
1192,0.272646646,2
1484,0.498502,3
1504,0.301395,3
225,0.451534316,3
226,0.610080361,3
265,0.301134189,3
250,0.304698199,3
266,0.617522091,3
267,0.557884455,3
252,0.260603979,2
251,0.645796776,3
277,0.672717839,4
253,0.074656827,1
273,0.313647528,3
313,0.57478106,3
298,0.618495107,3
303,0.413480014,3
706,0.26905717,2
302,0.30148568,3
325,0.343283067,3
301,0.312182526,3
299,0.302292148,3
300,0.217210894,2
318,0.27399084,2
358a,0.109118614,2
348,0.439316034,3
346,0.342589855,3
357,0.212191219,2
358b,0.127404556,2
347,0.428309898,3
349,0.159729828,2
395,0.514985085,3
415,0.327363111,3
406,0.341706783,3
407a,0.130712567,2
397,0.563520029,3
396,0.305669591,3
416,0.334820956,3
454a,0.443524698,3
453,0.303829898,3
446,0.449494024,3
447,0.107950213,2
445,0.304056009,3
495,0.585989952,3
605,0.366172224,3
649,0.379014959,3
647,0.020533912,1
656,0.387318149,3
699,0.21795658,2
710,0.2342261,2
740,0.34501344,3
736,0.216900672,2
742,0.458699569,3
787,0.220923394,2
789,0.528017074,3
783,0.2063464,2
817,0.315510541,3
832,0.49582837,3
835,0.530974766,3
838,0.397078991,3
864,0.397781422,3
834,0.51167202,3
883,0.43620647,3
884,0.220687533,2
882,0.52763473,3
887,0.335324804,3
921,0.562399,3
943,0.367618054,3
925,0.53605748,3
923,0.4440732,3
920,0.474839881,3
944,0.301295146,3
941,0.275991358,3
924,0.351108402,3
926,0.5659931,3
919,0.324375033,3
986,0.157669984,2
961,0.159594124,2
979,0.240646381,2
983,0.151619337,2
975,0.438291565,3
963,0.390897796,3
977,0.413717727,3
964,0.282179425,3
982,0.258936793,2
1013,0.149474517,2
998,0.366499931,3
1015,0.491270045,3
997,0.459038983,3
996,0.397776991,3
1002,0.390277803,3
1006,0.301128536,3
1019,0.706898669,4
1018,0.209199523,2
1029,0.440033548,3
1032,0.208832458,2
1034,0.35248962,3
1071,0.108555952,2
1065,0.163801722,2
1070,0.369182666,3
1063,0.470556259,3
1059,0.267296806,2
1056,0.350187838,3
1078,0.62637951,3
1097,0.038818728,1
1096,0.170336698,2
1094,0.720647484,4
1088,0.363121733,3
1087,0.156275357,2
1107,0.337526411,3
1106,0.516991595,3
1098,0.391052991,3
1125,0.139826391,2
1135,0.024942188,1
1124,0.165253285,2
1123,0.29198001,3
1134,0.216127515,2
1131,0.040798692,1
1167,0.173535559,2
1165,0.455820382,3
1166,0.209652409,2
1173,0.171484165,2
1170,0.177538315,2
1164,0.339483162,3
1171,0.050755404,1
1204,0.29436172,3
1203,0.179926957,2
1201,0.203678817,2
1210,-0.318747302,1
1211,0.288129846,3
1199,0.330743174,3
1249,0.082521672,1
1251,0.550557176,3
1245,0.134151611,2
1239,0.192224011,2
1232,0.453092784,3
1237,0.541858539,3
1278,0.335171968,3
1289,0.723316928,4
1269,0.223244146,2
1281,0.22797413,2
1271,0.223526604,2
1282,0.090138976,1
1284,0.533047497,3
1290,0.824048142,4
1270,0.503805349,3
1328,0.384005934,3
1325,0.47679399,3
1326,0.657311738,3
1332,0.158720464,2
1330,0.43025443,3
1317,0.470861485,3
1316,0.269814899,2
1331,0.013320553,1
1329,0.478395561,3
1361,0.533382833,3
1362,0.705562135,4
1360,0.708558838,4
1355,0.324953243,3
1381,0.458766083,3
1383,-0.222744297,1
1378,0.400710732,3
1396,-0.074186828,1
1393,0.348183155,3
1406,0.135088166,2
1629,-0.063218781,1
1639,0.270056933,2
1667,0.555805743,3
4667,0.248246346,2
1682,0.373848637,3
1683,0.415156474,3
1718,0.201001575,2
1716,0.164702263,2
1734,0.148813178,2
1713,0.2498748,2
1725,0.574139863,3
1743,0.694800794,4
1745,0.255720402,2
1744,0.605075339,3
1748,0.510220249,3
1780,0.50409843,3
1785,0.169503783,2
1778,0.384852439,3
1824,0.194472884,2
1822,0.52913034,3
1818,0.346417829,3
1820,0.376334652,3
1852,0.113329371,2
1860,0.210589297,2
1857,0.222919533,2
1861,0.572977384,3
1859,0.320767005,3
1870,0.462113455,3
1869,0.207351332,2
1908,0.445014934,3
1888,0.040520467,1
1922,0.259417482,2
1891,0.640607814,3
1900,0.271075279,2
1924,0.229531527,2
1898,0.353887836,3
1895,0.419737488,3
1903,0.203414291,2
