Card,ID,Display Name,Quandrant,Species,x0,x10,x30,x130,Notes,x
577,7.11314E+11,Regen: NW - FDI,NW,FDI,199,,,,,
577,3.83909E+11,Regen: SE - FDI,SE,FDI,80,,,,,
577,2.18238E+11,Regen: SW - FDI,SW,FDI,97,,,,,
581,1.73439E+11,Regen: NE - FDI,NE,FDI,,11,,,,
581,2.47806E+11,Regen: NE - PLI,NE,PLI,,,13,,,
581,1.95562E+11,Regen: NW - FDI,NW,FDI,7,27,,,,
581,9.3315E+11,Regen: NW - PLI,NW,PLI,,,1,,,
581,7.45816E+11,Regen: SE - FDI,SE,FDI,1,5,,,,
581,3.45496E+11,Regen: SE - PLI,SE,PLI,,,5,,,
581,6.99096E+11,Regen: SW - FDI,SW,FDI,2,9,,,,
581,8.31453E+11,Regen: SW - PLI,SW,PLI,,,8,,,
585,1.12447E+11,Regen: NE - ,NE,,,,,,,
585,3.60531E+11,Regen: NW - FDI,NW,FDI,,3,,,,
585,5.72746E+11,Regen: NW - PLI,NW,PLI,,1,,,,
585,9.47548E+11,Regen: SE - FDI,SE,FDI,,2,,,,
585,5.72028E+11,Regen: SE - PLI,SE,PLI,,1,,,,
585,1.82527E+11,Regen: SW - AT,SW,AT,,,1,,,
585,1.02873E+11,Regen: SW - FDI,SW,FDI,,4,,,,
618,8.32236E+11,Regen: NE - FDI,NE,FDI,178,53,,,,
618,2.09031E+11,Regen: NW - FDI,NW,FDI,121,189,1,,,
618,4.98819E+11,Regen: SE - AT,SE,AT,,,1,,,
618,5.52618E+11,Regen: SE - FDI,SE,FDI,62,65,,,,
618,5.89399E+11,Regen: SW - FDI,SW,FDI,36,97,,,,
620,3.58839E+11,Regen: NE - AT,NE,AT,,,7,3,,
620,1.98398E+11,Regen: NE - FDI,NE,FDI,,4,,,,
620,2.96274E+11,Regen: NE - PLI,NE,PLI,,5,1,,,
620,1.13926E+11,Regen: NW - AT,NW,AT,,,8,4,,
620,4.98674E+11,Regen: NW - FDI,NW,FDI,2,1,,,,
620,8.84311E+11,Regen: NW - PLI,NW,PLI,,2,,,,
620,5.09096E+11,Regen: SE - AT,SE,AT,,,3,1,,
620,3.86508E+11,Regen: SE - FDI,SE,FDI,,1,,,,
620,4.79982E+11,Regen: SE - PLI,SE,PLI,,3,1,,,
620,8.91397E+11,Regen: SW - AT,SW,AT,,,9,2,,
620,5.92222E+11,Regen: SW - PLI,SW,PLI,,4,,,,
653,4.42783E+11,Regen: NE - FDI,NE,FDI,5,,,1,,
653,5.83138E+11,Regen: NW - FDI,NW,FDI,10,29,4,,,
653,8.02295E+11,Regen: NW - PLI,NW,PLI,2,,1,,,
653,4.92357E+11,Regen: SE - FDI,SE,FDI,19,10,,,,
653,1.24676E+11,Regen: SE - PLI,SE,PLI,1,,1,,,
653,6.34515E+11,Regen: SW - FDI,SW,FDI,22,89,1,,,
653,2.14565E+11,Regen: SW - PLI,SW,PLI,2,1,1,,,
657,2.73818E+11,Regen: NE - FDI,NE,FDI,239,27,,,,
657,1.52125E+11,Regen: NW - FDI,NW,FDI,327,5,,,,
657,2.48542E+11,Regen: SE - FDI,SE,FDI,107,2,,,,
657,2.95304E+11,Regen: SE - PLI,SE,PLI,,1,,,,
657,2.90736E+11,Regen: SW - FDI,SW,FDI,203,4,,,,
657,9.90622E+11,Regen: SW - PLI,SW,PLI,,1,,,,
659,6.47463E+11,Regen: NE - FDI,NE,FDI,1,7,1,,,
659,5.10692E+11,Regen: NW - FDI,NW,FDI,,1,1,,,
659,4.75009E+11,Regen: SE - FDI,SE,FDI,,5,1,,,
659,7.68195E+11,Regen: SW - AT,SW,AT,,,1,,,
659,4.28851E+11,Regen: SW - FDI,SW,FDI,,3,,,,
661,4.97074E+11,Regen: NE - FDI,NE,FDI,8,11,,,,
661,5.57244E+11,Regen: NE - PLI,NE,PLI,,0,1,,,
661,2.68887E+11,Regen: NW - FDI,NW,FDI,2,4,,,,
661,9.43156E+11,Regen: SE - FDI,SE,FDI,2,10,,,,
661,4.89199E+11,Regen: SW - FDI,SW,FDI,,1,,,,
662,7.13408E+11,Regen: NE - FDI,NE,FDI,31,1,,,,
662,7.34038E+11,Regen: NW - FDI,NW,FDI,6,6,,,,
662,5.41055E+11,Regen: SE - FDI,SE,FDI,4,8,,,,
662,1.99207E+11,Regen: SW - FDI,SW,FDI,1,11,,,,
666,4.56273E+11,Regen: NE - FDI,NE,FDI,7,146,,,,
666,4.66501E+11,Regen: NW - FDI,NW,FDI,3,40,,,,
666,2.9281E+11,Regen: SE - FDI,SE,FDI,5,79,,,,
666,4.50409E+11,Regen: SW - FDI,SW,FDI,13,42,,,,
669,4.66551E+11,Regen: NE - FDI,NE,FDI,,1,,,,
669,2.86766E+11,Regen: NW - FDI,NW,FDI,3,,,,,
669,5.66016E+11,Regen: SE - ,SE,,,,,,,
669,1.56546E+11,Regen: SW - FDI,SW,FDI,8,1,,,,
707,4.48739E+11,Regen: NE - FDI,NE,FDI,,3,,,,
707,8.65425E+11,Regen: NW - FDI,NW,FDI,3,10,2,,,
707,4.52089E+11,Regen: SE - FDI,SE,FDI,7,3,,,,
707,1.57124E+11,Regen: SW - FDI,SW,FDI,3,20,,,,
708,9.32329E+11,Regen: NE - AT,NE,AT,,,1,1,,
708,1.92897E+11,Regen: NE - FDI,NE,FDI,,,1,,,
708,1.38453E+11,Regen: NW - FDI,NW,FDI,,1,2,,,
708,5.91556E+11,Regen: SE - AT,SE,AT,,,3,,,
708,6.13185E+11,Regen: SE - FDI,SE,FDI,,2,,,,
708,3.13202E+11,Regen: SW - ,SW,,,,,,No trees in quadrant,
711,3.69975E+11,Regen: NE - FDI,NE,FDI,16,97,,,,
711,2.99585E+11,Regen: NW - FDI,NW,FDI,6,48,,,,
711,3.40276E+11,Regen: SE - AT,SE,AT,,1,1,2,,
711,4.74239E+11,Regen: SE - FDI,SE,FDI,118,114,,,,
711,7.22723E+11,Regen: SW - AT,SW,AT,,,3,,,
711,4.391E+11,Regen: SW - FDI,SW,FDI,13,54,,,,
717,1.30843E+11,Regen: NE - AT,NE,AT,,3,5,2,,
717,1.09709E+11,Regen: NE - FDI,NE,FDI,23,4,,,,
717,6.24713E+11,Regen: NW - FDI,NW,FDI,4,3,,,,
717,6.32569E+11,Regen: SE - AT,SE,AT,,1,3,3,,
717,8.58396E+11,Regen: SE - FDI,SE,FDI,8,4,,,,
717,8.70552E+11,Regen: SW - FDI,SW,FDI,4,11,,,,
718,5.15204E+11,Regen: NE - ,NE,,,,,,,
718,1.83722E+11,Regen: NW - AT,NW,AT,,2,,,,
718,7.13174E+11,Regen: SE - AT,SE,AT,,,8,,,
718,9.64437E+11,Regen: SW - AT,SW,AT,,2,,,,
718,2.83563E+11,Regen: SW - PLI,SW,PLI,,2,2,,,
719,2.329E+11,Regen: NE - ,NE,,,,,,,
719,7.35715E+11,Regen: NW - ,NW,,,,,,,
719,8.69929E+11,Regen: SE - FDI,SE,FDI,,,1,,,
719,9.48747E+11,Regen: SW - AT,SW,AT,,,1,,,
719,1.41651E+11,Regen: SW - FDI,SW,FDI,,1,,,,
758,5.58765E+11,Regen: NE - ,NE,,,,,,No trees,
758,2.56572E+11,Regen: NW - ,NW,,,,,,No trees,
758,2.7612E+11,Regen: SE - ,SE,,,,,,No trees,
758,7.21343E+11,Regen: SW - ,SW,,,,,,No trees,
761,7.63222E+11,Regen: NE - FDI,NE,FDI,108,7,,,,
761,3.16344E+11,Regen: NW - FDI,NW,FDI,12,72,,,,
761,1.96885E+11,Regen: SE - FDI,SE,FDI,10,75,3,,,
761,2.36534E+11,Regen: SE - PLI,SE,PLI,,1,,,,
761,4.36517E+11,Regen: SW - FDI,SW,FDI,50,16,,,,
766,6.7399E+11,Regen: NE - ,NE,,,,,,,
766,4.46435E+11,Regen: NW - ,NW,,,,,,,
766,2.19911E+11,Regen: SE - ,SE,,,,,,,
766,2.77231E+11,Regen: SW - ,SW,,,,,,,
801,1.90582E+11,Regen: NE - FDI,NE,FDI,32,2,,,,
801,3.25163E+11,Regen: NE - PLI,NE,PLI,,,3,2,,
801,5.48996E+11,Regen: NW - FDI,NW,FDI,15,,,1,,
801,7.77642E+11,Regen: NW - PLI,NW,PLI,,,8,,,
801,2.96181E+11,Regen: SE - FDI,SE,FDI,36,1,1,,,
801,2.181E+11,Regen: SE - PLI,SE,PLI,,,,1,,
801,9.30758E+11,Regen: SW - FDI,SW,FDI,46,4,,,,
801,4.66377E+11,Regen: SW - PLI,SW,PLI,,,1,2,,
806,5.24073E+11,Regen: NE - FDI,NE,FDI,89,20,,,,
806,2.09295E+11,Regen: NW - FDI,NW,FDI,59,6,,,,
806,1.98792E+11,Regen: SE - FDI,SE,FDI,179,116,,,,
806,6.15939E+11,Regen: SW - FDI,SW,FDI,211,31,1,,,
808,3.23676E+11,Regen: NE - FDI,NE,FDI,23,2,,,,
808,9.94341E+11,Regen: NE - PLI,NE,PLI,1,2,1,,,
808,7.70537E+11,Regen: NW - FDI,NW,FDI,21,1,,,,
808,8.94282E+11,Regen: SE - FDI,SE,FDI,31,,,,,
808,4.85403E+11,Regen: SE - PLI,SE,PLI,,1,,,,
808,5.25933E+11,Regen: SW - FDI,SW,FDI,32,,,,,
810,5.57019E+11,Regen: NE - AT,NE,AT,,,4,1,,
810,6.74129E+11,Regen: NE - FDI,NE,FDI,3,9,1,,,
810,1.71141E+11,Regen: NE - PLI,NE,PLI,1,1,,,,
810,5.71633E+11,Regen: NW - FDI,NW,FDI,8,,,,,
810,9.43415E+11,Regen: NW - PLI,NW,PLI,,1,,,,
810,9.96851E+11,Regen: SE - AT,SE,AT,,,,7,,
810,8.25701E+11,Regen: SE - FDI,SE,FDI,3,,,,,
810,4.9921E+11,Regen: SE - PLI,SE,PLI,1,,,,,
810,8.24351E+11,Regen: SW - AT,SW,AT,,,1,,,
810,7.57001E+11,Regen: SW - FDI,SW,FDI,22,7,,,,
810,5.94728E+11,Regen: SW - PLI,SW,PLI,,10,,,,
812,8.65652E+11,Regen: NE - AT,NE,AT,,,4,1,,
812,5.7656E+11,Regen: NE - FDI,NE,FDI,2,,,,,
812,6.92832E+11,Regen: NW - PLI,NW,PLI,1,,,,,
812,3.01875E+11,Regen: NW - SW,NW,SW,,,1,,,
812,8.7685E+11,Regen: SE - AT,SE,AT,,2,5,6,,
812,6.72682E+11,Regen: SE - SW,SE,SW,1,,,,,
812,2.54963E+11,Regen: SW - AT,SW,AT,,,5,4,,
814,8.16913E+11,Regen: NE - AT,NE,AT,,1,2,,Sample tree was likely suppressed in the understorey before the wildfire.,
814,1.89015E+11,Regen: NE - FDI,NE,FDI,6,,,,Mostly germinants from 2022,
814,1.01207E+11,Regen: NW - AT,NW,AT,2,3,,3,,
814,6.20507E+11,Regen: NW - FDI,NW,FDI,9,,,,,
814,4.29991E+11,Regen: SE - AT,SE,AT,,2,2,10,,
814,2.79914E+11,Regen: SE - FDI,SE,FDI,15,1,,3,,
814,4.25573E+11,Regen: SW - AT,SW,AT,,,6,4,,
814,3.39888E+11,Regen: SW - FDI,SW,FDI,20,,,,,
815,7.17363E+11,Regen: NE - FDI,NE,FDI,29,,,,,
815,2.04309E+11,Regen: NW - FDI,NW,FDI,3,,,,,
815,2.94734E+11,Regen: SE - FDI,SE,FDI,25,,,,,
815,2.71378E+11,Regen: SW - FDI,SW,FDI,8,,,,,
844,5.89569E+11,Regen: NE - PLI,NE,PLI,0,3,19,7,Age 11,
844,3.69003E+11,Regen: NW - PLI,NW,PLI,0,2,16,9,Age 15. Zellaria needle sheath miner at tips.,
844,9.4985E+11,Regen: SE - PLI,SE,PLI,0,2,9,8,"Age 15
4 years in a row of alternating good growth and very poor height growth on a class 3 - zellaria?",
844,4.83501E+11,Regen: SW - PLI,SW,PLI,0,1,3,9,Age 15,
845,8.07446E+11,Regen: NE - PLI,NE,PLI,0,9,49,32,Age 12,
