Plot_ID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
742,2,1800,0.412996739,0.504402399,0.09140566,0.458699569,0.04570283,0.917399138,0.458699569,0.495261833
787,4,3600,0.177297458,0.289904654,0.112607196,0.220923394,0.043856418,0.883693576,0.208245732,0.271061237
789,2,1800,0.507927835,0.548106313,0.040178478,0.528017074,0.020089239,1.056034148,0.528017074,0.544088465
783,4,3600,0.138096437,0.264527887,0.12643145,0.2063464,0.0556116,0.8253856,0.211380638,0.262456515
817,2,1800,0.285316974,0.345704108,0.060387135,0.315510541,0.030193567,0.631021082,0.315510541,0.339665395
832,3,2700,0.367105842,0.565908492,0.19880265,0.49582837,0.091140267,1.487485111,0.554470778,0.563620949
835,3,2700,0.519735575,0.537351251,0.017615676,0.530974766,0.0079713,1.592924297,0.535837471,0.537048495
838,2,1800,0.32997638,0.464181602,0.134205222,0.397078991,0.067102611,0.794157982,0.397078991,0.45076108
864,3,2700,0.359224766,0.439852476,0.08062771,0.397781422,0.033009798,1.193344265,0.394267023,0.430735385
834,3,2700,0.494652987,0.522008479,0.027355492,0.51167202,0.012126372,1.53501606,0.518354595,0.521277702
883,3,2700,0.420054466,0.448819816,0.028765351,0.43620647,0.012007024,1.30861941,0.439745128,0.447004879
884,3,2700,0.196328431,0.23909387,0.042765439,0.220687533,0.017959162,0.6620626,0.226640299,0.236603156
882,3,2700,0.499952525,0.547256589,0.047304064,0.52763473,0.020135301,1.58290419,0.535695076,0.544944286
887,3,2700,0.28915149,0.3745175,0.085366011,0.335324804,0.03519835,1.005974412,0.342305422,0.368075085
921,2,1800,0.531846762,0.592951238,0.061104476,0.562399,0.030552238,1.124798,0.562399,0.586840791
943,2,1800,0.333489209,0.401746899,0.068257689,0.367618054,0.034128845,0.735236108,0.367618054,0.39492113
925,4,3600,0.497742146,0.5973382,0.099596053,0.53605748,0.038782548,2.144229919,0.524574786,0.580389357
923,4,3600,0.397306025,0.478455186,0.081149161,0.4440732,0.031310286,1.776292801,0.450265795,0.474623382
920,4,3600,0.422046304,0.516112685,0.094066381,0.474839881,0.039260456,1.899359524,0.480600268,0.513966918
944,4,3600,0.223518744,0.389557809,0.166039065,0.301295146,0.075605311,1.205180585,0.296052016,0.381597343
941,4,3600,0.191399992,0.354426444,0.163026452,0.275991358,0.057798527,1.103965431,0.279069498,0.333091572
924,4,3600,0.260152996,0.438862145,0.178709149,0.351108402,0.063413073,1.404433608,0.352709234,0.415201753
926,2,1800,0.55194521,0.580040991,0.028095782,0.5659931,0.014047891,1.131986201,0.5659931,0.577231413
919,2,1800,0.317655593,0.331094474,0.01343888,0.324375033,0.00671944,0.648750067,0.324375033,0.329750586
986,3,2700,0.075986229,0.23669669,0.160710461,0.157669984,0.065636667,0.473009951,0.160327032,0.221422759
961,3,2700,0.154755965,0.164773077,0.010017112,0.159594124,0.004096563,0.478782371,0.159253329,0.163669127
979,4,3600,0.217819825,0.28739664,0.069576815,0.240646381,0.027399581,0.962585524,0.22868453,0.27045844
983,2,1800,0.126924738,0.176313937,0.049389198,0.151619337,0.024694599,0.303238675,0.151619337,0.171375017
975,2,1800,0.432756871,0.443826258,0.011069387,0.438291565,0.005534694,0.876583129,0.438291565,0.442719319
963,2,1800,0.361983746,0.419811845,0.057828099,0.390897796,0.028914049,0.781795591,0.390897796,0.414029035
977,3,2700,0.353441864,0.45622462,0.102782756,0.413717727,0.043801643,1.241153181,0.431486696,0.451277035
964,3,2700,0.254511565,0.306975663,0.052464098,0.282179425,0.021514415,0.846538275,0.285051048,0.30259074
982,3,2700,0.223275453,0.284998685,0.061723232,0.258936793,0.026096633,0.776810378,0.26853624,0.281706196
1013,2,1800,0.136908755,0.162040278,0.025131524,0.149474517,0.012565762,0.298949033,0.149474517,0.159527126
998,3,2700,0.342306465,0.391317219,0.049010754,0.366499931,0.020013418,1.099499792,0.365876108,0.386228997
1015,3,2700,0.388743073,0.643466353,0.254723281,0.491270045,0.109761164,1.473810136,0.44160071,0.603093225
997,3,2700,0.447010428,0.477983296,0.030972868,0.459038983,0.013557296,1.377116948,0.452123225,0.472811282
996,3,2700,0.33467406,0.442587435,0.107913375,0.397776991,0.045915033,1.193330973,0.416069478,0.437283844
1002,3,2700,0.367857903,0.431748122,0.063890219,0.390277803,0.02935619,1.170833409,0.371227384,0.419643974
1006,3,2700,0.209406674,0.378051877,0.168645203,0.301128536,0.069639779,0.903385609,0.315927058,0.365626913
1019,3,2700,0.643389463,0.788356006,0.144966543,0.706898669,0.060527824,2.120696008,0.688950539,0.768474913
1018,3,2700,0.186678991,0.237889305,0.051210314,0.209199523,0.021356791,0.627598569,0.203030273,0.230917498
1029,4,3600,0.409398437,0.474662811,0.065264374,0.440033548,0.023813829,1.76013419,0.438036472,0.466024899
1032,4,3600,0.181682006,0.251713514,0.070031509,0.208832458,0.027507801,0.835329831,0.200967155,0.240325963
1034,4,3600,0.328759104,0.38783887,0.059079766,0.35248962,0.021965768,1.409958482,0.346680254,0.376987913
1071,4,3600,0.103960522,0.116281033,0.012320511,0.108555952,0.00484595,0.434223808,0.106991127,0.114103021
1065,2,1800,0.142627791,0.184975654,0.042347863,0.163801722,0.021173932,0.327603444,0.163801722,0.180740868
1070,3,2700,0.307479918,0.486617863,0.179137945,0.369182666,0.083074987,1.107547998,0.313450217,0.451984334
1063,4,3600,0.323708832,0.582402945,0.258694112,0.470556259,0.11228667,1.882225037,0.48805663,0.580718714
1059,2,1800,0.256782979,0.277810633,0.021027654,0.267296806,0.010513827,0.534593612,0.267296806,0.275707868
1056,2,1800,0.271432608,0.428943068,0.157510459,0.350187838,0.07875523,0.700375676,0.350187838,0.413192022
1078,3,2700,0.593605995,0.662843406,0.069237411,0.62637951,0.028386252,1.879138529,0.622689128,0.654812551
1097,2,1800,0.016096994,0.061540462,0.045443468,0.038818728,0.022721734,0.077637456,0.038818728,0.056996115
1096,3,2700,0.109191701,0.241621315,0.132429615,0.170336698,0.054537508,0.511010095,0.160197079,0.225336468
1094,2,1800,0.708099902,0.733195066,0.025095165,0.720647484,0.012547582,1.441294968,0.720647484,0.73068555
1088,3,2700,0.230892017,0.468005329,0.237113312,0.363121733,0.098713519,1.089365199,0.390467852,0.452497834
1087,3,2700,0.145573288,0.173523083,0.027949795,0.156275357,0.012313461,0.46882607,0.149729699,0.168764406
1107,3,2700,0.323560596,0.346982688,0.023422092,0.337526411,0.010079701,1.012579232,0.342035949,0.34599334
1106,3,2700,0.383798957,0.693015575,0.309216619,0.516991595,0.129819419,1.550974786,0.474160254,0.649244511
1098,3,2700,0.336349189,0.432637066,0.096287876,0.391052991,0.040389225,1.173158973,0.404172719,0.426944196
1125,2,1800,0.119272806,0.160379976,0.04110717,0.139826391,0.020553585,0.279652782,0.139826391,0.156269259
1135,4,3600,-0.018642176,0.062648267,0.081290442,0.024942188,0.030524667,0.099768752,0.027881331,0.05639885
1124,4,3600,0.154368117,0.195240602,0.040872484,0.165253285,0.017334031,0.661013141,0.155702211,0.183655873
1123,4,3600,0.244058147,0.382264048,0.138205901,0.29198001,0.053486335,1.167920038,0.270798922,0.350926253
1134,4,3600,0.164094359,0.278697222,0.114602864,0.216127515,0.045978532,0.864510059,0.210859239,0.267291097
1131,2,1800,0.039163161,0.042434223,0.003271062,0.040798692,0.001635531,0.081597384,0.040798692,0.042107117
1167,4,3600,0.079654068,0.254787564,0.175133497,0.173535559,0.067068221,0.694142237,0.179850303,0.242907068
1165,4,3600,0.436817825,0.484477073,0.047659248,0.455820382,0.017549927,1.823281527,0.450993314,0.47480517
1166,2,1800,0.204740822,0.214563996,0.009823173,0.209652409,0.004911587,0.419304818,0.209652409,0.213581678
1173,2,1800,0.147951573,0.195016757,0.047065184,0.171484165,0.023532592,0.34296833,0.171484165,0.190310238
1170,3,2700,0.157924011,0.202030525,0.044106513,0.177538315,0.018333787,0.532614946,0.17266041,0.196156502
1164,3,2700,0.333150387,0.346288472,0.013138086,0.339483162,0.005373999,1.018449485,0.339010626,0.344832903
1171,3,2700,-0.002818755,0.138106614,0.140925369,0.050755404,0.062293161,0.152266211,0.016978351,0.113880962
1204,3,2700,0.289662272,0.299045146,0.009382874,0.29436172,0.003830559,0.883085161,0.294377744,0.298111665
1203,3,2700,0.112954751,0.228166401,0.115211651,0.179926957,0.048864564,0.53978087,0.198659718,0.222265065
1201,3,2700,0.200302541,0.20717451,0.006871969,0.203678817,0.00280674,0.61103645,0.203559399,0.206451488
1210,3,2700,-0.395359159,-0.201766849,0.19359231,-0.318747302,0.084030603,-0.956241906,-0.359115899,-0.233236659
1211,3,2700,0.270241261,0.298298985,0.028057724,0.288129846,0.012688614,0.864389539,0.295849293,0.297809047
1199,3,2700,0.285941362,0.390387058,0.104445696,0.330743174,0.043912346,0.992229521,0.315901101,0.375489867
1249,3,2700,0.038686343,0.140445009,0.101758666,0.082521672,0.042720491,0.247565016,0.068433665,0.12604274
1251,3,2700,0.519944847,0.588862598,0.068917751,0.550557176,0.028656609,1.651671529,0.542864084,0.579662895
1245,4,3600,0.080217034,0.216645613,0.13642858,0.134151611,0.05759131,0.536606446,0.119871899,0.199509959
1239,4,3600,0.163037673,0.209415033,0.046377361,0.192224011,0.017971118,0.768896043,0.198221669,0.207863599
1232,4,3600,0.428031623,0.470780492,0.042748868,0.453092784,0.015783864,1.812371135,0.45677951,0.467711097
1237,4,3600,0.499510109,0.56768918,0.068179071,0.541858539,0.026184344,2.167434156,0.550117433,0.564976019
1278,3,2700,0.278530449,0.372986078,0.09445563,0.335171968,0.040794771,1.005515903,0.353999376,0.369188738
1289,3,2700,0.67503804,0.762260914,0.087222874,0.723316928,0.036215215,2.169950783,0.73265183,0.756339097
1269,3,2700,0.201099679,0.234869957,0.033770278,0.223244146,0.015665025,0.669732437,0.233762801,0.234648526
1281,4,3600,0.071139999,0.364662111,0.293522112,0.22797413,0.104614905,0.911896519,0.238047205,0.33031266
1271,2,1800,0.218965963,0.228087246,0.009121284,0.223526604,0.004560642,0.447053209,0.223526604,0.227175118
1282,3,2700,-0.026155161,0.163351223,0.189506384,0.090138976,0.083147276,0.270416928,0.133220866,0.157325152
1284,3,2700,0.520498037,0.546187878,0.02568984,0.533047497,0.010496154,1.599142492,0.532456577,0.543441617
1290,3,2700,0.815865338,0.828909218,0.01304388,0.824048142,0.005820144,2.472144425,0.827369869,0.828601348
1270,3,2700,0.463710278,0.530306935,0.066596657,0.503805349,0.02883708,1.511416048,0.517398834,0.527725315
1328,3,2700,0.332261354,0.41569975,0.083438396,0.384005934,0.036896399,1.152017802,0.404056698,0.41337114
1325,2,1800,0.45743683,0.496151149,0.038714319,0.47679399,0.01935716,0.953587979,0.47679399,0.492279717
1326,2,1800,0.644287169,0.670336306,0.026049137,0.657311738,0.013024569,1.314623475,0.657311738,0.667731392
1332,2,1800,0.15351367,0.163927257,0.010413587,0.158720464,0.005206794,0.317440927,0.158720464,0.162885898
1330,2,1800,0.332869232,0.527639627,0.194770396,0.43025443,0.097385198,0.860508859,0.43025443,0.508162588
1317,3,2700,0.429322243,0.50038749,0.071065247,0.470861485,0.030230291,1.412584454,0.482874721,0.496884936
1316,3,2700,0.230613977,0.312507987,0.08189401,0.269814899,0.033524157,0.809444696,0.266322732,0.303270936
1331,3,2700,-0.041317359,0.045204647,0.086522005,0.013320553,0.038814229,0.039961658,0.03607437,0.043378592
1329,3,2700,0.41514352,0.578705907,0.163562387,0.478395561,0.071731685,1.435186684,0.441337258,0.551232177
1361,2,1800,0.478241205,0.588524461,0.110283256,0.533382833,0.055141628,1.066765666,0.533382833,0.577496135
