"","ID1","ID2","lat","long","el","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD_0","DD5","DD_18","DD18","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","Eref","CMD","MAR","RH","CMI","DD1040","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tave_wt","Tave_sp","Tave_sm","Tave_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Rad_wt","Rad_sp","Rad_sm","Rad_at","DD_0_wt","DD_0_sp","DD_0_sm","DD_0_at","DD5_wt","DD5_sp","DD5_sm","DD5_at","DD_18_wt","DD_18_sp","DD_18_sm","DD_18_at","DD18_wt","DD18_sp","DD18_sm","DD18_at","NFFD_wt","NFFD_sp","NFFD_sm","NFFD_at","PAS_wt","PAS_sp","PAS_sm","PAS_at","Eref_wt","Eref_sp","Eref_sm","Eref_at","CMD_wt","CMD_sp","CMD_sm","CMD_at","RH_wt","RH_sp","RH_sm","RH_at","CMI_wt","CMI_sp","CMI_sm","CMI_at"
"1","3","2003",0,0,1436,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-10.01,343,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.77,-9.57,-9.69,0.48
"2","1153","2003",52.53071,-124.0292,1020,3,15,-7.6,22.6,291,118,44.8,126.8,1014,1127,5444,23,122,174,247,73,99,-44.9,33.2,634,471,11.4,47,-27.73,422,0.3,11,22.5,9.5,-13.1,-5.3,4.3,-5.6,-6.4,2.9,13.4,2,68,35,76,116,4,14.8,19.9,7.4,603,159,0,252,2,146,771,208,2162,1396,428,1459,0,3,16,4,1,18,81,22,56,14,1,28,0,164,369,101,0,139,293,40,48,46,47,49,6.37,-7.14,-26.04,-0.92
"3","1192","2003",52.54065,-124.0878,1007,3.1,15.1,-7.6,22.7,297,117,44,129.8,1010,1143,5430,24,122,174,247,73,104,-45,33.3,635,474,11.6,47,-27.32,432,0.4,11.1,22.5,9.6,-13.2,-5.3,4.4,-5.6,-6.4,2.9,13.5,2,74,34,75,119,4,15,20,7.7,605,155,0,250,2,147,784,211,2165,1390,421,1454,0,3,17,4,1,18,81,22,61,13,1,29,0,163,370,101,0,139,295,40,47,46,47,49,6.93,-7.27,-26.23,-0.76
