"","ID1","ID2","lat","long","el","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD_0","DD5","DD_18","DD18","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","Eref","CMD","MAR","RH","CMI","DD1040","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tave_wt","Tave_sp","Tave_sm","Tave_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Rad_wt","Rad_sp","Rad_sm","Rad_at","DD_0_wt","DD_0_sp","DD_0_sm","DD_0_at","DD5_wt","DD5_sp","DD5_sm","DD5_at","DD_18_wt","DD_18_sp","DD_18_sm","DD_18_at","DD18_wt","DD18_sp","DD18_sm","DD18_at","NFFD_wt","NFFD_sp","NFFD_sm","NFFD_at","PAS_wt","PAS_sp","PAS_sm","PAS_at","Eref_wt","Eref_sp","Eref_sm","Eref_at","CMD_wt","CMD_sp","CMD_sm","CMD_at","RH_wt","RH_sp","RH_sm","RH_at","CMI_wt","CMI_sp","CMI_sm","CMI_at"
"1","3","2003",0,0,1436,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-27.2,813,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.75,-7.87,-26.89,-5.19
"2","1153","2003",52.53071,-124.0292,1020,3.4,15.2,-12.3,27.5,396,223,33.8,68.2,983,1156,5336,29,130,172,236,63,87,-44.9,35,664,377,11.4,50,-16.39,467,-1.8,12.6,23.2,9.2,-15,-3.7,5.5,-3.3,-8.4,4.4,14.3,3,46,66,141,122,3,14.8,19.9,7.4,785,76,0,122,1,163,860,132,2360,1252,352,1372,0,3,24,1,1,20,86,24,43,12,1,31,0,204,376,83,0,138,235,4,48,47,48,57,6.62,-5.98,-20.65,3.62
"3","1192","2003",52.54065,-124.0878,1007,3.4,15.4,-12.4,27.7,397,218,33.9,70.5,980,1168,5318,30,131,172,235,63,89,-45,35.1,666,385,11.6,50,-16.61,476,-1.8,12.7,23.3,9.3,-15.1,-3.7,5.6,-3.3,-8.5,4.5,14.4,3,49,64,138,124,3,15,20,7.7,788,73,0,119,1,164,869,134,2363,1244,345,1366,0,3,25,2,1,20,86,24,46,12,1,31,0,205,377,83,0,141,239,4,47,47,48,57,7.06,-6.3,-21.1,3.73
