SampleSite_ID,Latitude,Longitude,MapPageID,Aspect,Elevation,Slope,TWI,Zone,Subzone,Variant,Solar_Radiation,PARENT_SOILS,SOILNAME_1,TEXTURE_1,PERCENT_1,DRAIN_1,COFRAG_1,SOILNAME_2,TEXTURE_2,PERCENT_2,DRAIN_2,COFRAG_2,SOILNAME_3,TEXTURE_3,PERCENT_3,DRAIN_3,COFRAG_3,Fire_Year_1,Fire_Number_1,Fire_Date_1,Fire_Severity_1,Severity_Patch_Size_1,Species_1,Age_1,Height_1,Crown_Closure_1,Disturbance_Type_1,Disturbance_Date_1,Harvest_Date_1,Fire_Year_2,Fire_Number_2,Fire_Date_2,Fire_Severity_2,Severity_Patch_Size_2,Species_2,Age_2,Height_2,Crown_Closure_2,Disturbance_Type_2,Disturbance_Date_2,Harvest_Date_2,Distance_to_Perimeter
862,51.93127477,-123.2401822,65,72.64597321,1093,16.76305389,6.796628475,IDF,dk,4,984251.3207,TILL ,SHEMWELL,SL,100,W,28,,-,,,,,-,,,,2017,C50647,2017-07-07,Low,4150.473278,FDI,49,9.6,10,,,1972-01-01,,,,,,,,,,,,,141.9257201
863,51.9309242,-123.2256284,65,55.61965561,1091,5.755432129,6.767049313,IDF,dk,4,1004871.758,TILL ,SHEMWELL,SL,100,W,28,,-,,,,,-,,,,2017,C50647,2017-07-07,Medium,367.802157,FDI,109,15.2,34,IBM,2003-08-01,,,,,,,,,,,,,,490.3446432
864,51.93057178,-123.2110748,65,2.353296757,991,18.26540375,8.251241684,IDF,xm,,890168.5921,TILL ,SHEMWELL,SL,100,W,28,,-,,,,,-,,,,2017,C50647,2017-07-07,Low,19.95146873,FD,149,17.9,40,,,,,,,,,,,,,,,,2.190164324
865,51.93021753,-123.1965215,65,88.83086395,868,24.50510216,7.397753716,IDF,xm,,967048.5314,GLACIOLACUSTRINE ,SHEMWELL,SL,60,W,28,HAWKS,SIL,40,R,25,,-,,,,2017,C50647,2017-07-07,Medium,42.91548555,FD,149,17.9,40,,,,,,,,,,,,,,,,167.6174367
866,51.92986143,-123.1819684,65,80.31121063,786,10.39831734,8.660455704,IDF,xm,,969101.1705,GLACIOLACUSTRINE ,ZENZAKO,SIL,100,MW,5,,-,,,,,-,,,,2017,C50647,2017-07-07,Low,4150.473278,FDI,149,17.9,40,,,,,,,,,,,,,,,,31.22375084
867,51.92582271,-123.0219003,66,255.5406036,911,41.0502739,4.802395821,IDF,xm,,991595.0098,GLACIOLACUSTRINE ,WHISKEY CREEK,SL,75,W,23,UNDIFFERENTIATED BEDROCK,-,25,-,,,-,,,,2017,C50647,2017-07-07,Low,29.15141256,FD,148,17.9,20,,,,,,,,,,,,,,,,92.79416502
868,51.9254445,-123.0073502,66,245.1363068,801,56.48561859,4.483207226,IDF,xm,,981758.876,GLACIOLACUSTRINE ,WHISKEY CREEK,SL,75,W,23,UNDIFFERENTIATED BEDROCK,-,25,-,,,-,,,,2017,C50647,2017-07-07,Medium,185.6601482,FDI,148,17.9,20,,,,,,,,,,,,,,,,218.7524325
869,51.97022147,-125.1481129,57,157.0362244,943,32.03903961,5.050238132,IDF,dw,,1118443.846,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2017,C50744,2017-07-07,Medium,1251.634795,PL,104,15.7,30,IBM,2007-07-01,,,,,,,,,,,,,,420.9205584
870,51.97011259,-125.133536,57,202.9195557,960,40.44285965,9.093969345,IDF,dw,,1131655.812,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2017,C50744,2017-07-07,Low,740.4683789,FD,94,19.5,16,IBM,2011-07-01,,,,,,,,,,,,,,246.7456892
871,51.97000187,-125.1189592,57,146.4271088,879,33.9061203,6.379892349,IDF,dw,,1097854.166,GLACIOFLUVIAL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2017,C50744,2017-07-07,Low,740.4683789,FD,298,16.9,18,IBM,2003-07-01,,,,,,,,,,,,,,53.10024038
