"","ID1","ID2","lat","long","el","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD_0","DD5","DD_18","DD18","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","Eref","CMD","MAR","RH","CMI","DD1040","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tave_wt","Tave_sp","Tave_sm","Tave_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Rad_wt","Rad_sp","Rad_sm","Rad_at","DD_0_wt","DD_0_sp","DD_0_sm","DD_0_at","DD5_wt","DD5_sp","DD5_sm","DD5_at","DD_18_wt","DD_18_sp","DD_18_sm","DD_18_at","DD18_wt","DD18_sp","DD18_sm","DD18_at","NFFD_wt","NFFD_sp","NFFD_sm","NFFD_at","PAS_wt","PAS_sp","PAS_sm","PAS_at","Eref_wt","Eref_sp","Eref_sm","Eref_at","CMD_wt","CMD_sp","CMD_sm","CMD_at","RH_wt","RH_sp","RH_sm","RH_at","CMI_wt","CMI_sp","CMI_sm","CMI_at"
"1","13","2009",51.6164,-123.2166,1468,2.1,11.8,-8.2,20,601,149,20.1,78.8,955,755,5805,8,128,183,252,68,335,-40.6,30.6,496,273,-9999,61,22.95,190,-0.2,7.2,16.9,7.8,-9.6,-4.3,4.3,-2.7,-4.9,1.4,10.6,2.5,194,127,125,140,-9999,15.7,21,8,621,165,1,169,2,69,520,164,2183,1528,683,1411,0,1,4,3,2,16,82,28,148,85,5,98,0,130,282,84,0,66,157,50,62,59,60,63,20.77,6.59,-9.24,4.83
"2","13","2009",51.61646,-123.2166,1468,2.1,11.8,-8.2,20,601,149,20.1,78.8,955,755,5805,8,128,183,252,68,335,-40.6,30.6,496,273,-9999,61,22.95,190,-0.2,7.2,16.9,7.8,-9.6,-4.3,4.3,-2.7,-4.9,1.4,10.6,2.5,194,127,125,140,-9999,15.7,21,8,621,165,1,169,2,69,520,164,2183,1528,683,1411,0,1,4,3,2,16,82,28,148,85,5,98,0,130,282,84,0,66,157,50,62,59,60,63,20.77,6.59,-9.24,4.83
"3","20","2009",51.62508,-123.2015,1483,2,11.7,-8.3,20,617,152,19.4,77.2,968,746,5833,8,127,184,252,68,349,-40.6,30.5,493,268,-9999,62,24.94,187,-0.4,7,16.8,7.7,-9.6,-4.4,4.3,-2.8,-5,1.3,10.5,2.4,201,131,128,143,-9999,15.8,21.2,8.5,626,168,1,174,2,67,516,162,2189,1537,688,1419,0,1,4,3,2,15,81,28,154,89,5,101,0,129,280,84,0,66,153,50,62,59,61,63,21.49,7.04,-8.83,5.23
"4","158","2009",51.79662,-123.641,1194,3,13.4,-8.3,21.7,375,135,34.6,99.7,897,969,5474,15,135,180,249,70,170,-41.2,32.6,553,350,-9999,58,-8.32,319,0.2,9.1,19.3,9.4,-10.2,-3.6,5.1,-2.5,-5,2.7,12.2,3.4,105,86,111,73,-9999,14.4,20.1,7.1,633,123,0,141,2,103,665,199,2198,1409,537,1330,0,2,9,4,2,20,85,29,80,40,2,49,0,144,316,93,0,89,205,56,58,56,56,60,10.24,0.45,-15.14,-3.87
"5","159","2009",51.79627,-123.6264,1283,2.7,13,-8.3,21.3,388,136,32.7,95.6,924,905,5581,12,133,181,250,69,186,-40.8,32,535,331,-9999,59,-4.35,280,-0.1,8.5,18.6,8.8,-9.9,-3.9,4.9,-2.5,-5,2.3,11.7,3.1,111,88,112,77,-9999,15.4,21,8,635,137,0,151,2,91,625,188,2201,1449,574,1357,0,2,7,3,2,18,84,29,85,46,3,54,0,139,306,90,0,84,194,54,60,57,58,61,10.88,1.37,-13.69,-2.9
"6","358","2009",51.84111,-123.624,1157,3.1,13.7,-8.3,22.1,373,139,35,98.8,896,1003,5436,16,135,179,249,70,165,-41.6,33,562,355,-9999,57,-9.76,342,0.3,9.5,19.6,9.6,-10.5,-3.6,5.2,-2.6,-5.1,2.9,12.4,3.5,103,85,114,72,-9999,15,20.4,7.4,639,116,0,140,2,110,689,203,2206,1389,515,1326,0,2,10,4,1,20,85,29,79,37,2,47,0,147,321,94,0,91,207,57,57,55,56,59,9.99,-0.04,-15.49,-4.22
"7","407","2009",51.85007,-123.6235,1159,3.1,13.7,-8.3,22.1,372,139,35.1,98.5,898,1000,5441,16,135,179,249,70,164,-41.6,33,562,355,-9999,57,-9.91,340,0.3,9.5,19.7,9.6,-10.5,-3.6,5.1,-2.6,-5.1,2.9,12.4,3.5,102,85,114,72,-9999,15.1,20.4,7.5,641,115,0,140,2,109,687,202,2208,1389,517,1327,0,2,10,4,1,20,85,29,78,37,2,47,0,147,322,94,0,91,208,57,57,55,56,59,9.9,-0.06,-15.54,-4.2
"8","408","2009",51.84978,-123.609,1172,3,13.7,-8.3,22,374,140,34.9,97.7,896,990,5452,15,134,180,249,69,165,-41.7,32.9,560,352,-9999,57,-9.44,333,0.4,9.4,19.6,9.5,-10.5,-3.7,5.1,-2.7,-5.1,2.9,12.3,3.4,103,85,115,73,-9999,15.3,20.7,8,639,117,0,140,2,107,680,201,2205,1395,523,1329,0,2,10,4,1,19,85,28,79,38,2,47,0,146,320,94,0,90,206,56,56,55,56,59,9.99,0.04,-15.34,-4.13
"9","454","2009",51.85936,-123.6376,1164,3,13.7,-8.4,22.1,369,138,35.3,99.8,906,999,5452,16,135,179,249,70,164,-41.6,33,562,356,-9999,57,-10.18,340,0.2,9.5,19.7,9.5,-10.5,-3.7,5.2,-2.6,-5.2,2.9,12.4,3.4,102,85,112,71,-9999,15.2,20.3,8,646,117,0,142,2,109,687,202,2214,1392,516,1330,0,2,10,4,1,20,85,29,79,38,2,46,0,146,321,94,0,90,209,57,57,55,56,59,9.87,-0.01,-15.72,-4.32
"10","456","2009",51.85886,-123.5941,1142,3.1,13.8,-8.5,22.3,375,140,35,98.8,896,1016,5421,17,135,179,249,70,164,-41.9,33.1,566,358,-9999,56,-10.25,350,0.3,9.7,19.8,9.7,-10.6,-3.6,5.2,-2.6,-5.1,3,12.5,3.5,104,85,115,73,-9999,15.3,21,8,645,112,0,139,2,113,696,205,2212,1379,507,1322,0,2,11,4,1,20,85,29,80,36,2,46,0,148,324,95,0,92,209,57,56,55,55,58,10.07,-0.26,-15.76,-4.3
"11","801","2009",51.93135,-123.6482,1108,3.2,14.2,-8.6,22.8,335,132,39.4,107.8,920,1060,5403,19,136,178,249,71,144,-42,33.6,577,380,-9999,56,-15.72,381,0,9.9,20.3,9.7,-10.8,-3.6,5.4,-2.7,-5.4,3.2,12.9,3.5,90,78,108,63,-9999,15,20.3,8,664,112,0,145,2,120,728,210,2235,1368,477,1323,0,2,13,4,1,21,86,28,70,31,1,41,0,150,331,96,0,98,224,58,56,54,55,58,8.54,-1.39,-17.44,-5.43
"12","844","2009",51.9421,-123.7351,1117,3.1,14.2,-8.7,22.9,339,133,38.6,106.6,931,1050,5429,19,136,178,249,71,149,-42.2,33.5,574,374,-9999,56,-14.84,375,0,9.8,20.2,9.6,-10.9,-3.6,5.4,-2.7,-5.5,3.1,12.8,3.5,91,81,108,64,-9999,15.3,20.6,8,671,115,0,145,1,117,722,209,2244,1377,482,1325,0,2,13,4,1,20,86,28,72,33,1,43,0,149,329,96,0,94,222,58,56,54,55,58,8.59,-0.88,-17.25,-5.29
"13","845","2009",51.94174,-123.7206,1123,3.1,14.1,-8.7,22.8,340,134,38.5,105.9,933,1045,5436,19,135,179,249,70,150,-42.2,33.5,574,373,-9999,56,-14.68,372,0,9.8,20.2,9.6,-10.9,-3.7,5.3,-2.7,-5.5,3.1,12.8,3.4,91,81,108,64,-9999,15.3,20.7,8,671,115,0,147,1,116,720,208,2244,1378,485,1328,0,2,12,4,1,20,86,28,72,33,2,43,0,149,329,95,0,94,221,58,56,54,55,58,8.55,-0.81,-17.2,-5.22
"14","846","2009",51.94145,-123.706,1112,3.1,14.2,-8.7,22.9,335,133,39.2,107.2,930,1056,5420,19,136,178,249,71,145,-42.2,33.6,576,377,-9999,56,-15.6,379,0,9.9,20.3,9.7,-10.9,-3.6,5.4,-2.7,-5.5,3.1,12.8,3.5,89,79,108,63,-9999,15.2,20.6,8,671,113,0,146,1,118,726,210,2244,1373,478,1325,0,2,13,4,1,20,86,28,70,32,1,42,0,150,331,96,0,96,223,58,56,54,55,58,8.38,-1.14,-17.45,-5.39
"15","847","2009",51.94125,-123.6914,1108,3.1,14.3,-8.7,22.9,327,130,40.3,109.2,929,1061,5412,19,136,178,249,71,140,-42.2,33.7,578,382,-9999,56,-16.58,382,0,9.9,20.4,9.7,-10.9,-3.6,5.4,-2.7,-5.5,3.1,12.9,3.5,87,76,106,62,-9999,15,20.4,8,670,113,0,146,1,119,729,211,2243,1370,475,1324,0,2,13,4,1,20,86,28,68,30,1,40,0,150,332,96,0,98,226,58,56,54,55,58,8.2,-1.53,-17.68,-5.57
"16","851","2009",51.94006,-123.6331,1103,3.2,14.3,-8.6,22.9,342,135,38.6,106.3,919,1065,5395,20,136,178,249,71,147,-42,33.6,579,379,-9999,56,-15.2,385,0,10,20.4,9.8,-10.8,-3.6,5.4,-2.7,-5.4,3.2,12.9,3.5,93,78,109,65,-9999,15.1,20.4,8,664,111,0,145,2,121,732,211,2235,1365,473,1322,0,2,13,4,1,21,86,28,73,31,1,42,0,151,332,96,0,98,222,58,56,54,55,58,8.87,-1.45,-17.36,-5.26
"17","852","2009",51.93973,-123.6187,1107,3.2,14.3,-8.6,22.9,348,137,37.9,104,921,1062,5401,20,136,178,249,71,150,-42.1,33.6,578,376,-9999,56,-14.53,383,0,9.9,20.4,9.7,-10.9,-3.6,5.4,-2.7,-5.4,3.2,12.9,3.5,95,78,112,67,-9999,15.3,20.7,8,664,112,0,145,2,120,730,210,2236,1367,475,1323,0,2,13,4,1,20,86,28,74,32,1,43,0,150,332,96,0,98,220,58,56,54,55,58,9.02,-1.36,-17.08,-5.11
