"","ID1","ID2","lat","long","el","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD_0","DD5","DD_18","DD18","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","Eref","CMD","MAR","RH","CMI","DD1040","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tave_wt","Tave_sp","Tave_sm","Tave_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Rad_wt","Rad_sp","Rad_sm","Rad_at","DD_0_wt","DD_0_sp","DD_0_sm","DD_0_at","DD5_wt","DD5_sp","DD5_sm","DD5_at","DD_18_wt","DD_18_sp","DD_18_sm","DD_18_at","DD18_wt","DD18_sp","DD18_sm","DD18_at","NFFD_wt","NFFD_sp","NFFD_sm","NFFD_at","PAS_wt","PAS_sp","PAS_sm","PAS_at","Eref_wt","Eref_sp","Eref_sm","Eref_at","CMD_wt","CMD_sp","CMD_sm","CMD_at","RH_wt","RH_sp","RH_sm","RH_at","CMI_wt","CMI_sp","CMI_sm","CMI_at"
"1","13","2009",51.6164,-123.2166,1468,1.8,11.4,-8.3,19.7,574,199,20.5,57.4,1005,702,5913,6,121,175,245,70,286,-40.5,30.5,501,250,12.1,59,20.84,160,-1.7,7.5,17.2,7.4,-11.8,-4.6,3.6,-3.5,-6.8,1.4,10.4,2,161,94,135,185,3.7,15.7,21,8,658,162,1,184,1,71,503,126,2226,1527,698,1462,0,1,3,1,1,15,78,26,140,54,5,86,0,130,292,80,0,71,157,23,59,57,58,61,16.09,3.17,-9.39,10.97
"2","13","2009",51.61646,-123.2166,1468,1.8,11.4,-8.3,19.7,574,199,20.5,57.4,1005,702,5913,6,121,175,245,70,286,-40.5,30.5,501,250,12.1,59,20.84,160,-1.7,7.5,17.2,7.4,-11.8,-4.6,3.6,-3.5,-6.8,1.4,10.4,2,161,94,135,185,3.7,15.7,21,8,658,162,1,184,1,71,503,126,2226,1527,698,1462,0,1,3,1,1,15,78,26,140,54,5,86,0,130,292,80,0,71,157,23,59,57,58,61,16.09,3.17,-9.39,10.97
"3","13","2009",51.6164,-123.2166,1468,1.8,11.4,-8.3,19.7,574,199,20.5,57.4,1005,702,5913,6,121,175,245,70,286,-40.5,30.5,501,250,12.1,59,20.84,160,-1.7,7.5,17.2,7.4,-11.8,-4.6,3.6,-3.5,-6.8,1.4,10.4,2,161,94,135,185,3.7,15.7,21,8,658,162,1,184,1,71,503,126,2226,1527,698,1462,0,1,3,1,1,15,78,26,140,54,5,86,0,130,292,80,0,71,157,23,59,57,58,61,16.09,3.17,-9.39,10.97
"4","13","2009",51.61646,-123.2166,1468,1.8,11.4,-8.3,19.7,574,199,20.5,57.4,1005,702,5913,6,121,175,245,70,286,-40.5,30.5,501,250,12.1,59,20.84,160,-1.7,7.5,17.2,7.4,-11.8,-4.6,3.6,-3.5,-6.8,1.4,10.4,2,161,94,135,185,3.7,15.7,21,8,658,162,1,184,1,71,503,126,2226,1527,698,1462,0,1,3,1,1,15,78,26,140,54,5,86,0,130,292,80,0,71,157,23,59,57,58,61,16.09,3.17,-9.39,10.97
"5","20","2009",51.62508,-123.2015,1492,1.6,11.3,-8.3,19.6,587,201,19.9,56.2,1022,686,5955,6,120,175,245,70,298,-40.4,30.3,496,243,12.5,59,22.78,153,-1.9,7.3,17,7.2,-11.8,-4.7,3.6,-3.6,-6.9,1.3,10.3,1.8,166,95,137,188,4.2,15.9,21.3,8.5,664,168,1,189,1,68,493,124,2234,1540,708,1472,0,1,3,1,1,15,78,26,145,57,5,90,0,129,289,79,0,69,152,22,59,57,58,61,16.59,3.53,-8.82,11.47
"6","158","2009",51.79662,-123.641,1194,2.7,12.9,-8.4,21.3,383,184,33.1,70.1,934,905,5577,11,129,172,243,71,138,-41.1,32.4,555,325,11.2,56,-6.5,271,-1.4,9.5,19.4,9,-12.2,-3.9,4.3,-3.2,-6.8,2.8,11.9,2.9,82,66,125,110,3.1,14.4,20.1,7.1,662,118,0,154,1,107,636,161,2232,1404,566,1375,0,2,7,2,1,19,82,27,72,25,2,39,0,144,322,88,0,96,197,32,56,54,54,58,8.13,-1.77,-14.36,1.49
"7","159","2009",51.79627,-123.6264,1285,2.4,12.5,-8.4,20.8,395,185,31.3,67.2,961,839,5691,9,127,173,243,71,152,-40.6,31.8,536,306,12.2,57,-2.53,233,-1.7,8.8,18.7,8.4,-12,-4.2,4.1,-3.2,-6.9,2.3,11.4,2.6,86,67,126,116,4.4,15.4,21,8,664,132,0,165,1,94,594,149,2235,1445,607,1403,0,2,6,2,1,18,81,27,76,29,3,44,0,139,312,85,0,91,185,29,58,55,55,60,8.62,-0.9,-12.98,2.73
"8","358","2009",51.84111,-123.624,1157,2.8,13.1,-8.4,21.5,382,188,33.4,69.7,932,935,5535,12,130,171,242,71,133,-41.5,32.8,563,329,11.6,55,-7.81,290,-1.3,9.9,19.7,9.2,-12.5,-3.9,4.4,-3.3,-6.9,3,12.1,3,79,65,129,109,3.7,15,20.4,7.4,668,111,0,153,1,113,657,164,2239,1384,541,1370,0,2,8,2,1,20,83,26,70,23,2,38,0,147,327,89,0,99,198,32,55,53,53,57,7.89,-2.26,-14.6,1.17
"9","407","2009",51.85007,-123.6235,1160,2.8,13.1,-8.5,21.5,381,188,33.5,69.5,934,931,5542,12,129,171,242,71,133,-41.5,32.7,563,329,11.7,55,-7.89,287,-1.3,9.9,19.7,9.2,-12.5,-3.9,4.4,-3.3,-6.9,3,12.1,2.9,78,65,129,109,3.8,15.1,20.4,7.5,670,110,0,154,1,113,654,163,2242,1384,544,1372,0,2,8,2,1,19,82,26,69,23,2,38,0,147,327,89,0,99,198,31,55,53,53,57,7.82,-2.28,-14.62,1.2
"10","408","2009",51.84978,-123.609,1172,2.7,13,-8.4,21.4,382,188,33.3,69.1,933,921,5557,12,129,172,242,71,134,-41.5,32.6,561,326,12,55,-7.49,281,-1.3,9.8,19.6,9.1,-12.5,-4,4.3,-3.3,-6.9,2.9,12,2.9,79,65,129,109,4.1,15.3,20.7,8,667,112,0,153,1,111,648,162,2239,1389,555,1374,0,2,8,2,1,19,82,26,70,23,2,38,0,146,326,89,0,98,197,31,54,53,53,57,7.88,-2.17,-14.46,1.26
"11","454","2009",51.85936,-123.6376,1164,2.7,13.1,-8.5,21.6,377,186,33.7,70.2,941,930,5552,12,129,171,242,71,133,-41.5,32.7,562,330,11.8,55,-8.19,287,-1.5,9.8,19.7,9.1,-12.5,-3.9,4.4,-3.3,-7,3,12.1,2.9,78,65,127,108,3.7,15.2,20.3,8,674,111,0,155,1,112,654,163,2247,1386,544,1374,0,2,8,2,1,19,82,26,69,23,2,38,0,147,327,89,0,99,200,31,55,53,53,57,7.79,-2.25,-14.79,1.06
"12","801","2009",51.93135,-123.6482,1108,2.9,13.5,-8.7,22.2,345,177,37.3,75.9,954,986,5506,14,131,170,242,72,115,-41.9,33.3,576,353,11.8,54,-13.48,323,-1.6,10.3,20.3,9.3,-12.8,-3.8,4.6,-3.3,-7.2,3.2,12.4,3,67,59,121,98,4.1,15,20.3,8,691,106,0,157,1,124,691,170,2267,1361,511,1366,0,2,10,2,1,20,83,26,60,19,2,33,0,151,335,91,0,106,214,33,55,52,53,57,6.71,-3.44,-16.4,-0.36
"13","844","2009",51.9421,-123.7351,1112,2.8,13.4,-8.8,22.3,352,181,36.4,74.2,962,979,5524,14,131,170,242,72,118,-42.1,33.2,574,347,12,54,-12.48,319,-1.7,10.2,20.2,9.3,-12.9,-3.9,4.6,-3.3,-7.3,3.2,12.4,3,68,62,123,100,4.1,15.3,20.6,8,696,108,0,157,1,122,686,170,2274,1367,515,1367,0,2,9,2,1,20,83,26,61,20,2,35,0,150,334,90,0,103,211,33,54,52,53,57,6.76,-3.07,-16.06,-0.12
"14","845","2009",51.94174,-123.7206,1123,2.8,13.4,-8.8,22.2,352,181,36.3,73.6,964,971,5536,14,130,171,242,72,118,-42.1,33.2,573,345,12,54,-12.2,313,-1.7,10.2,20.2,9.2,-12.9,-3.9,4.5,-3.3,-7.3,3.1,12.3,2.9,67,62,123,100,4.1,15.3,20.7,8,697,109,0,159,1,120,681,168,2275,1371,519,1372,0,2,9,2,1,20,83,26,61,20,2,35,0,149,333,90,0,102,210,33,54,52,53,57,6.72,-2.96,-15.97,0.01
"15","846","2009",51.94145,-123.706,1112,2.8,13.4,-8.8,22.3,347,179,37,74.8,962,982,5521,14,131,170,242,72,115,-42.1,33.3,575,350,11.9,54,-13.19,321,-1.7,10.2,20.3,9.3,-12.9,-3.9,4.6,-3.3,-7.3,3.2,12.4,3,66,60,122,98,4,15.2,20.6,8,696,107,0,158,1,122,688,170,2274,1365,513,1369,0,2,9,2,1,20,83,26,59,20,2,34,0,150,335,90,0,105,212,33,54,52,52,57,6.58,-3.25,-16.25,-0.25
"16","847","2009",51.94125,-123.6914,1108,2.8,13.5,-8.8,22.3,339,176,38,76.5,961,986,5514,14,131,170,242,72,111,-42.1,33.4,577,356,11.8,54,-14.19,324,-1.7,10.3,20.3,9.3,-12.9,-3.8,4.6,-3.3,-7.3,3.2,12.5,3,64,58,120,96,3.8,15,20.4,8,696,107,0,158,1,123,691,170,2274,1363,510,1367,0,2,10,2,1,20,83,26,58,18,2,33,0,151,335,91,0,106,215,34,54,52,52,57,6.44,-3.54,-16.54,-0.55
"17","851","2009",51.94006,-123.6331,1103,2.9,13.5,-8.7,22.2,352,180,36.6,75,953,991,5500,15,131,170,242,73,118,-41.9,33.3,577,352,11.8,54,-12.92,326,-1.6,10.3,20.3,9.3,-12.8,-3.8,4.6,-3.3,-7.2,3.3,12.5,3,70,60,123,100,3.8,15.1,20.4,8,690,105,0,157,1,125,694,171,2267,1359,508,1365,0,2,10,2,1,20,83,26,62,19,2,34,0,151,336,91,0,106,213,33,55,52,52,57,6.96,-3.43,-16.3,-0.14
"18","852","2009",51.93973,-123.6187,1107,2.9,13.5,-8.8,22.3,358,183,35.9,73.5,955,988,5505,14,131,170,242,72,120,-42,33.3,577,348,12,54,-12.21,324,-1.6,10.3,20.3,9.3,-12.8,-3.8,4.6,-3.3,-7.2,3.2,12.5,3,71,60,125,102,4,15.3,20.7,8,691,106,0,157,1,124,692,170,2268,1361,510,1367,0,2,10,2,1,20,83,26,63,19,2,35,0,151,335,91,0,105,210,32,54,52,53,57,7.06,-3.35,-16.02,0.11
"19","892","2009",51.951,-123.7346,1121,2.8,13.4,-8.9,22.2,349,180,36.6,74.2,967,972,5539,14,130,170,242,72,116,-42.2,33.2,573,347,12,54,-12.63,315,-1.7,10.2,20.2,9.2,-12.9,-3.9,4.5,-3.3,-7.3,3.1,12.4,2.9,66,61,123,99,4.1,15.3,20.6,8,699,109,0,159,1,120,683,168,2277,1372,518,1372,0,2,9,2,1,20,83,26,60,20,2,35,0,150,334,90,0,104,210,33,54,52,53,57,6.64,-3.12,-16.05,-0.1
"20","893","2009",51.95074,-123.72,1118,2.8,13.4,-8.9,22.3,349,180,36.7,74.3,966,975,5534,14,130,171,242,72,116,-42.2,33.2,574,348,12,54,-12.75,317,-1.7,10.2,20.2,9.2,-12.9,-3.9,4.5,-3.3,-7.3,3.1,12.4,3,67,60,123,99,4.1,15.3,20.6,8,698,109,0,159,1,121,685,169,2277,1369,516,1371,0,2,9,2,1,20,83,26,60,20,2,35,0,150,334,90,0,104,211,33,54,52,53,57,6.66,-3.21,-16.09,-0.11
