"","ID1","ID2","lat","long","el","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD_0","DD5","DD_18","DD18","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","Eref","CMD","MAR","RH","CMI","DD1040","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tave_wt","Tave_sp","Tave_sm","Tave_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Rad_wt","Rad_sp","Rad_sm","Rad_at","DD_0_wt","DD_0_sp","DD_0_sm","DD_0_at","DD5_wt","DD5_sp","DD5_sm","DD5_at","DD_18_wt","DD_18_sp","DD_18_sm","DD_18_at","DD18_wt","DD18_sp","DD18_sm","DD18_at","NFFD_wt","NFFD_sp","NFFD_sm","NFFD_at","PAS_wt","PAS_sp","PAS_sm","PAS_at","Eref_wt","Eref_sp","Eref_sm","Eref_at","CMD_wt","CMD_sp","CMD_sm","CMD_at","RH_wt","RH_sp","RH_sm","RH_at","CMI_wt","CMI_sp","CMI_sm","CMI_at"
"1","141","2017",51.7734,-123.0033,1195,3.2,16.1,-12.1,28.2,401,129,32.9,124.5,1001,1185,5394,31,141,171,252,80,206,-41.6,30.8,625,423,-9999,56,-10.84,468,-1,10.5,22.1,9.2,-11.2,-3.2,6.4,-2.5,-6.1,3.7,14.3,3.4,115,72,74,107,-9999,16,21.3,8.7,801,81,0,120,6,149,855,175,2380,1320,361,1333,0,2,26,3,1,22,88,30,93,24,1,88,0,184,357,84,0,111,283,29,58,54,53,59,14.77,-2.45,-24.46,1.3
"2","161","2017",51.78849,-123.2783,1198,3,15.5,-12.1,27.7,392,125,33.3,123.7,999,1095,5446,25,137,175,249,74,206,-42.1,30.7,624,430,-9999,55,-11.33,425,-0.7,10.4,21.9,9.2,-11.3,-3.3,5.8,-2.8,-6,3.6,13.8,3.2,117,67,73,99,-9999,15.8,21,8,793,80,0,126,1,117,815,162,2371,1328,394,1352,0,2,20,2,1,20,87,28,94,22,1,88,0,183,357,85,0,116,283,31,57,54,52,58,15.25,-2.77,-24.45,0.64
"3","162","2017",51.78811,-123.2636,1199,3,15.5,-12.1,27.7,394,126,33.1,123.8,1000,1095,5448,25,137,175,249,74,208,-42.1,30.7,624,429,-9999,55,-11.08,426,-0.7,10.4,21.9,9.2,-11.3,-3.3,5.8,-2.8,-6,3.6,13.8,3.2,119,67,73,100,-9999,15.8,21,8,793,81,0,126,1,117,816,162,2371,1330,394,1353,0,2,20,2,1,20,87,28,95,23,1,89,0,183,357,85,0,115,283,30,57,54,52,58,15.4,-2.75,-24.46,0.73
"4","163","2017",51.78642,-123.1912,1144,3.3,16,-12,28,378,127,35.2,126.3,981,1192,5356,30,140,173,250,77,187,-41.7,31.1,637,442,-9999,55,-14.7,468,-0.7,10.9,22.4,9.5,-11.1,-3,6.1,-2.7,-5.9,3.9,14.2,3.4,107,66,74,98,-9999,15.4,21,7.8,786,73,0,121,7,156,854,176,2364,1296,362,1335,0,2,25,3,1,22,88,29,85,19,1,82,0,187,363,86,0,121,290,31,57,54,52,58,13.98,-3.58,-25.27,0.17
"5","165","2017",51.78158,-123.0028,1166,3.3,16.3,-12.1,28.4,403,130,33,125.3,1001,1212,5365,33,143,170,252,82,204,-41.4,31,630,427,-9999,56,-11.5,486,-1.1,10.7,22.3,9.3,-11,-3,6.6,-2.4,-6.1,3.8,14.4,3.4,115,73,75,107,-9999,16,21.3,8.7,801,79,0,120,6,155,871,180,2381,1308,347,1328,0,2,28,3,1,23,88,31,93,23,1,87,0,185,360,85,0,112,285,29,59,54,53,60,14.8,-2.67,-24.82,1.18
"6","193","2017",51.80051,-123.4083,1188,3,15.5,-12.3,27.8,378,125,34.5,123.7,1008,1095,5456,24,137,175,249,74,195,-42,30.8,624,433,-9999,55,-12.63,424,-0.8,10.4,21.8,9.1,-11.2,-3.3,5.8,-2.8,-6,3.6,13.8,3.2,113,63,73,94,-9999,15.3,20.7,8,799,82,0,126,1,118,813,162,2377,1331,395,1353,0,2,20,2,1,20,87,28,91,21,1,82,0,183,356,85,0,120,283,31,58,54,52,59,14.72,-3.14,-24.33,0.12
"7","193","2017",51.80047,-123.4083,1188,3,15.5,-12.3,27.8,378,125,34.5,123.7,1008,1095,5456,24,137,175,249,74,195,-42,30.8,624,433,-9999,55,-12.63,424,-0.8,10.4,21.8,9.1,-11.2,-3.3,5.8,-2.8,-6,3.6,13.8,3.2,113,63,73,94,-9999,15.3,20.7,8,799,82,0,126,1,118,813,162,2377,1331,395,1353,0,2,20,2,1,20,87,28,91,21,1,82,0,183,356,85,0,120,283,31,58,54,52,59,14.73,-3.14,-24.34,0.12
"8","193","2017",51.80051,-123.4083,1188,3,15.5,-12.3,27.8,378,125,34.5,123.7,1008,1095,5456,24,137,175,249,74,195,-42,30.8,624,433,-9999,55,-12.63,424,-0.8,10.4,21.8,9.1,-11.2,-3.3,5.8,-2.8,-6,3.6,13.8,3.2,113,63,73,94,-9999,15.3,20.7,8,799,82,0,126,1,118,813,162,2377,1331,395,1353,0,2,20,2,1,20,87,28,91,21,1,82,0,183,356,85,0,120,283,31,58,54,52,59,14.72,-3.14,-24.33,0.12
"9","193","2017",51.80047,-123.4083,1188,3,15.5,-12.3,27.8,378,125,34.5,123.7,1008,1095,5456,24,137,175,249,74,195,-42,30.8,624,433,-9999,55,-12.63,424,-0.8,10.4,21.8,9.1,-11.2,-3.3,5.8,-2.8,-6,3.6,13.8,3.2,113,63,73,94,-9999,15.3,20.7,8,799,82,0,126,1,118,813,162,2377,1331,395,1353,0,2,20,2,1,20,87,28,91,21,1,82,0,183,356,85,0,120,283,31,58,54,52,59,14.73,-3.14,-24.34,0.12
"10","194","2017",51.79712,-123.2632,1158,3.2,15.8,-12.2,28,389,126,33.9,125.4,991,1131,5396,28,138,174,249,75,199,-41.9,31,633,438,-9999,55,-12.96,450,-0.7,10.7,22.2,9.3,-11.2,-3.1,5.9,-2.8,-6,3.8,14.1,3.3,116,67,74,98,-9999,15.7,21,8,793,76,0,122,1,125,837,167,2371,1307,376,1341,0,2,23,2,1,21,87,28,93,20,1,85,0,186,362,86,0,119,288,31,57,54,52,58,15.03,-3.23,-25.06,0.3
