"","SampleSite_ID","BEC_Zone","BEC_Subzone","BEC_Variant","SPECIES_CD_1_1","SPECIES_PCT_1_1","SPECIES_CD_2_1","SPECIES_PCT_2_1","SPECIES_CD_3_1","SPECIES_PCT_3_1","SPECIES_CD_4_1","SPECIES_PCT_4_1","PLI_percent_pre","FDI_percent_pre","SX_percent_pre","AT_percent_pre","Species_pre","Year","Dominant_pre","LeadingSpecies_pre","LeadingPercent_pre","SecondSpecies_pre","SecondPercent_pre","ThirdSpecies_pre","ThirdPercent_pre","FourthSpecies_pre","FourthPercent_pre","SpeciesAll","PLI_percent","FDI_percent","SX_percent","AT_percent","Species","LeadingSpecies","Dominant","LeadingPercent","SecondSpecies","SecondPercent","ThirdSpecies","ThirdPercent","FourthSpecies","FourthPercent"
"346","325","IDF","dk",4,"AT",40,"PLI",35,"SX",13,"FDI",12,35,12,13,40," PLI FDI SX AT",2024,"Mix","AT",40,"PLI",35,"SX",13,"FDI",12,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA
"347","944","IDF","xm",NA,"FDI",100,"",NA,"",NA,"",NA,0,100,0,0," FDI",2024,"FDI","FDI",100,NA,NA,NA,NA,NA,NA,"AT, FDI",0,96,0,4," FDI AT","FDI","FDI",96,"AT",4,NA,NA,NA,NA
"348","943","IDF","xm",NA,"FDI",100,"",NA,"",NA,"",NA,0,100,0,0," FDI",2024,"FDI","FDI",100,NA,NA,NA,NA,NA,NA,"FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA
"349","710","IDF","dk",4,"FDI",95,"PLI",3,"AT",1,"SX",1,3,95,1,1," PLI FDI SX AT",2024,"FDI","FDI",95,"PLI",3,"AT",1,"SX",1,"FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA
"350","864","IDF","xm",NA,"FDI",100,"",NA,"",NA,"",NA,0,100,0,0," FDI",2024,"FDI","FDI",100,NA,NA,NA,NA,NA,NA,"AT, FDI",0,97,0,3," FDI AT","FDI","FDI",97,"AT",3,NA,NA,NA,NA
"351","357","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2024,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"FDI, PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA
"352","406","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2024,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"FDI, PLI",97,3,0,0," PLI FDI","PLI","PLI",97,"FDI",3,NA,NA,NA,NA
"353","453","IDF","dk",4,"FDI",84,"PLI",15,"",NA,"",NA,15,84,0,0," PLI FDI",2024,"FDI","FDI",84,"PLI",15,NA,NA,NA,NA,"FDI, PLI",1,99,0,0," PLI FDI","FDI","FDI",99,"PLI",1,NA,NA,NA,NA
"354","941","IDF","xm",NA,"PLI",80,"FDI",20,"",NA,"",NA,80,20,0,0," PLI FDI",2024,"PLI","PLI",80,"FDI",20,NA,NA,NA,NA,"FDI, SX",0,98,2,0," FDI SX","FDI","FDI",98,"SX",2,NA,NA,NA,NA
"355","983","IDF","dk",4,"FDI",80,"PLI",20,"",NA,"",NA,20,80,0,0," PLI FDI",2024,"FDI","FDI",80,"PLI",20,NA,NA,NA,NA,"FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA
