"","Card","SpeciesAll","total_count","total_tph","total_x0","total_x10","total_x30","total_x130","FDI_count","FDI_tph","FDI_x0","FDI_x10","FDI_x30","FDI_x130","PLI_count","PLI_tph","PLI_x0","PLI_x10","PLI_x30","PLI_x130","AT_count","AT_x0","AT_x10","AT_x30","AT_x130","SX_count","SX_x0","SX_x10","SX_x30","SX_x130","SampleSite_ID","UNIQUE_ID","Plot_ID","Contract","Zone","Easting","Northing","Coordinate_source","Latitude","Longitude","Aspect","Elevation","Slope","TWI","BEC_Zone","BEC_Subzone","BEC_Variant","Solar_Radiation","PARENT_SOILS","SOILNAME_1","TEXTURE_1","PERCENT_1","DRAIN_1","COFRAG_1","SOILNAME_2","TEXTURE_2","PERCENT_2","DRAIN_2","COFRAG_2","SOILNAME_3","TEXTURE_3","PERCENT_3","DRAIN_3","COFRAG_3","FIRE_NUMBER_1","FIRE_YEAR_1","BURN_SEVERITY_RATING_1","FIRE_DATE_1","PATCH_SIZE_1","CROWN_CLOSURE_1","SPECIES_CD_1_1","SPECIES_PCT_1_1","PROJ_AGE_1_1","PROJ_HEIGHT_1_1","SPECIES_CD_2_1","SPECIES_PCT_2_1","PROJ_AGE_2_1","PROJ_HEIGHT_2_1","SPECIES_CD_3_1","SPECIES_PCT_3_1","SPECIES_CD_4_1","SPECIES_PCT_4_1","SPECIES_CD_5_1","SPECIES_PCT_5_1","SPECIES_CD_6_1","SPECIES_PCT_6_1","DISTURBANCE_TYPE_1","DISTURBANCE_DATE_1","HARVEST_DATE_1","FIRE_NUMBER_2","FIRE_YEAR_2","BURN_SEVERITY_RATING_2","FIRE_DATE_2","PATCH_SIZE_2","CROWN_CLOSURE_2","SPECIES_CD_1_2","SPECIES_PCT_1_2","PROJ_AGE_1_2","PROJ_HEIGHT_1_2","SPECIES_CD_2_2","SPECIES_PCT_2_2","PROJ_AGE_2_2","PROJ_HEIGHT_2_2","SPECIES_CD_3_2","SPECIES_PCT_3_2","SPECIES_CD_4_2","SPECIES_PCT_4_2","SPECIES_CD_5_2","SPECIES_PCT_5_2","SPECIES_CD_6_2","SPECIES_PCT_6_2","DISTURBANCE_TYPE_2","DISTURBANCE_DATE_2","HARVEST_DATE_2","DISTANCE_TO_PERIMETER","Beers_aspect","Azimuth","MEAN","BARC.x"
"11",162,"AT, FDI, PLI, SX",124,24800,1,2,109,12,1,200,0,1,0,0,6,1200,1,0,4,1,116,0,0,105,11,1,0,1,0,0,162,8,162,"",10,481817,5737505,"Field UTM",51.78811452,-123.2636206,337.619873,1199,4.596194267,9.631022453,"SBPS","xc",NA,1010038.901,"TILL ","SHEMWELL","SL",100,"W",28,"","-",NA,"",NA,"","-",NA,"",NA,"C50647",2017,"Unburned","2017-07-07",493.8347522,12,"AT",80,11,2.799999952,"PLI",20,7,0.899999976,"",NA,"",NA,NA,NA,NA,NA,"","","2004-07-17","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,-1,1.58679572190815,"N",0.098718586,"1"
"12",163,"AT, PLI",3,600,0,2,1,0,0,0,0,0,0,0,1,200,0,1,0,0,2,0,1,1,0,0,0,0,0,0,163,9,163,"",10,486812,5737301,"Field UTM",51.78642037,-123.1911949,212.4711914,1144,3.259601116,7.335588455,"IDF","dk",4,1044536.234,"TILL ","SHEMWELL","SL",100,"W",28,"","-",NA,"",NA,"","-",NA,"",NA,"C50647",2017,"Medium","2017-07-07",224.0529771,20,"PLI",53,108,14.89999962,"FDI",46,163,18.39999962,"AT",1,"",NA,NA,NA,NA,NA,"IBM","2003-08-01","","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,218.1906986,9.29650566388052e-05,"S",0.573032409,"3"
"13",165,"FDI, PLI",136,27200,44,75,14,3,1,200,1,0,0,0,135,27000,43,75,14,3,0,0,0,0,0,0,0,0,0,0,165,10,165,"",10,499810,5736745,"Field UTM",51.78157663,-123.0027543,343.6104736,1166,4.430011272,8.127403259,"IDF","dk",4,1005609.359,"TILL ","TYEE","SL",100,"MW",20,"","-",NA,"",NA,"","-",NA,"",NA,"C50647",2017,"Low","2017-07-07",312.3172318,20,"PLI",55,67,12.30000019,"SX",25,89,12.39999962,"FDI",19,"AT",1,NA,NA,NA,NA,"IBM","2003-08-01","","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,104.2009456,1.66809949306124,"N",0.334078322,"3"
"14",193,"AT, PLI",22,4400,0,1,21,0,0,0,0,0,0,0,21,4200,0,1,20,0,1,0,0,1,0,0,0,0,0,0,193,12,193,"Elhdaqox",10,471848,5738925,"Field UTM",51.80046894,-123.408265,321.3401794,1188,3.201562166,10.34928703,"SBPS","xc",NA,1019564.966,"TILL ","SHEMWELL","SL",100,"W",28,"","-",NA,"",NA,"","-",NA,"",NA,"C50647",2017,"Low","2017-07-07",2.849780968,39,"PLI",90,91,13.30000019,"SX",8,73,9.199999809,"AT",2,"",NA,NA,NA,NA,NA,"IBM","2003-08-01","","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,8.706704877,1.33627777443994,"N",0.427893847,"3"
"15",193,"AT, PLI",22,4400,0,1,21,0,0,0,0,0,0,0,21,4200,0,1,20,0,1,0,0,1,0,0,0,0,0,0,193,11,193,"Toosey",10,471846,5738929,"Field UTM",51.8005048,-123.4082944,321.3401794,1188,3.201562166,10.34928703,"SBPS","xc",NA,1019564.966,"TILL ","SHEMWELL","SL",100,"W",28,"","-",NA,"",NA,"","-",NA,"",NA,"C50647",2017,"Low","2017-07-07",2.849780968,39,"PLI",90,91,13.30000019,"SX",8,73,9.199999809,"AT",2,"",NA,NA,NA,NA,NA,"IBM","2003-08-01","","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,8.311323452,1.33627777443994,"N",0.427893847,"3"
"16",194,"AT, FDI, PLI",137,27400,2,33,82,20,1,200,1,0,0,0,3,600,0,0,2,1,133,1,33,80,19,0,0,0,0,0,194,13,194,"",10,481851,5738507,"Field UTM",51.79712479,-123.2631801,130.6012878,1158,9.219544411,6.29586792,"IDF","dk",4,1062031.446,"TILL ","SHEMWELL","SL",100,"W",28,"","-",NA,"",NA,"","-",NA,"",NA,"C50647",2017,"Low","2017-07-07",640.3959118,20,"FDI",85,23,3.700000048,"SX",15,78,11.60000038,"",NA,"",NA,NA,NA,NA,NA,"","","","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,222.8670928,0.845093632993232,"E",0.412137404,"3"
"17",197,"PLI",150,30000,23,62,65,0,0,0,0,0,0,0,150,30000,23,62,65,0,0,0,0,0,0,0,0,0,0,0,197,14,197,"",10,499859,5737747,"Field UTM",51.79058591,-123.0020444,233.7461548,1172,4.650269032,8.07888031,"IDF","dk",4,1048076.354,"TILL ","TYEE","SL",100,"MW",20,"","-",NA,"",NA,"","-",NA,"",NA,"C50647",2017,"Low","2017-07-07",312.3172318,21,"PLI",57,68,13.30000019,"FDI",27,81,13.10000038,"AT",12,"SX",4,NA,NA,NA,NA,"IBM","2003-08-01","","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,265.1798019,0.0731842492128885,"W",0.333462328,"3"
"18",227,"AT, PLI",517,103400,93,292,132,0,0,0,0,0,0,0,486,97200,91,272,123,0,31,2,20,9,0,0,0,0,0,0,227,15,227,"",10,468891,5740053,"Field UTM",51.81045406,-123.4512478,333.4349365,1188,1.118034005,9.791915894,"SBPS","xc",NA,1029410.94,"TILL ","SHEMWELL","SL",100,"W",28,"","-",NA,"",NA,"","-",NA,"",NA,"C50647",2017,"Unburned","2017-07-07",363.3787991,47,"PLI",97,92,13.39999962,"SX",3,70,9.199999809,"",NA,"",NA,NA,NA,NA,NA,"IBM","2003-08-01","","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,-1,1.5261399309468,"N",0.129974355,"2"
"19",229,"AT, PLI, SX",141,28200,31,27,52,31,0,0,0,0,0,0,9,1800,1,7,1,0,103,9,16,47,31,29,21,4,4,0,229,16,229,"",10,479894,5739589,"Field UTM",51.80678627,-123.2916211,1.63657701,1150,8.753570557,11.35836697,"SBPS","xc",NA,973200.3748,"GLACIOFLUVIAL ","SHEMWELL","SL",100,"W",28,"","-",NA,"",NA,"","-",NA,"",NA,"C50647",2017,"Low","2017-07-07",640.3959118,67,"SX",46,117,19.29999924,"AT",38,108,17.70000076,"PLI",16,"",NA,NA,NA,NA,NA,"IBM","2003-08-01","","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,60.20757869,1.86555950641421,"N",0.179716326,"2"
"20",231,"AT, PLI",27,5400,0,7,19,1,0,0,0,0,0,0,5,1000,0,5,0,0,22,0,2,19,1,0,0,0,0,0,231,17,231,"",10,484902,5739375,"Field UTM",51.80501984,-123.2189755,275.5993347,1148,12.81112766,5.966879368,"IDF","dk",4,1014358.692,"TILL ","SHEMWELL","SL",100,"W",28,"","-",NA,"",NA,"","-",NA,"",NA,"C50647",2017,"Low","2017-07-07",3099.075366,18,"PLI",85,84,13.5,"FDI",10,157,15.89999962,"AT",4,"SX",1,NA,NA,NA,NA,"IBM","2003-08-01","","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,20.46483648,0.560208367781414,"W",0.371107916,"3"
