"","Card","SpeciesAll","total_count","total_tph","total_x0","total_x10","total_x30","total_x130","FDI_count","FDI_tph","FDI_x0","FDI_x10","FDI_x30","FDI_x130","PLI_count","PLI_tph","PLI_x0","PLI_x10","PLI_x30","PLI_x130","NonCon_count","NonCon_x0","NonCon_x10","NonCon_x30","NonCon_x130","SX_count","SX_x0","SX_x10","SX_x30","SX_x130"
"37",358,"NR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",360,"FDI, NonCon, PLI, SX",154,30800,8,1,111,34,1,200,1,0,0,0,4,800,3,1,0,0,145,0,0,111,34,4,4,0,0,0
"39",361,"NR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",366,"FDI, PLI",29,5800,11,13,5,0,9,1800,5,4,0,0,20,4000,6,9,5,0,0,0,0,0,0,0,0,0,0,0
"41",367,"NonCon",12,2400,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,10,2,0,0,0,0,0
"42",369,"NR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",370,"FDI",78,15600,39,16,13,10,78,15600,39,16,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",371,"FDI, PLI",385,77000,187,194,4,0,371,74200,183,186,2,0,14,2800,4,8,2,0,0,0,0,0,0,0,0,0,0,0
"45",375,"FDI",175,35000,123,51,1,0,175,35000,123,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",407,"PLI",15,3000,3,2,6,4,0,0,0,0,0,0,15,3000,3,2,6,4,0,0,0,0,0,0,0,0,0,0
"47",408,"PLI",96,19200,21,60,15,0,0,0,0,0,0,0,96,19200,21,60,15,0,0,0,0,0,0,0,0,0,0,0
"48",413,"NR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",417,"FDI, PLI",7,1400,1,1,5,0,1,200,1,0,0,0,6,1200,0,1,5,0,0,0,0,0,0,0,0,0,0,0
"50",419,"FDI",7,1400,1,6,0,0,7,1400,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",420,"PLI, SX",121,24200,22,76,23,0,0,0,0,0,0,0,120,24000,22,76,22,0,0,0,0,0,0,1,0,0,1,0
"52",421,"FDI, PLI",54,10800,2,20,32,0,3,600,0,3,0,0,51,10200,2,17,32,0,0,0,0,0,0,0,0,0,0,0
"53",423,"FDI, NonCon",108,21600,3,80,25,0,98,19600,3,80,15,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0
"54",424,"NonCon",23,4600,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,23,0,0,0,0,0
"55",425,"NR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
