"","ID1","ID2","Year","MAT","MWMT","MAP","NFFD","PAS","AHM","SHM","Tave_sp","Tave_sm","Tmax_sp","Tmax_sm","Tmin_sp","Tmin_sm","NFFD_sp","PAS_sp","PAS_wt","PPT_sm"
"49",892,2009,2,2.4,12.7,461,134,194,27,53.7,1.8,11.5,8.2,18.4,-4.5,4.5,19,40,107,124
"50",893,2009,2,2.5,12.7,461,134,195,27,53.7,1.9,11.5,8.2,18.4,-4.5,4.5,19,40,107,125
"51",894,2009,2,2.5,12.8,450,135,186,27.8,54.7,1.9,11.6,8.3,18.6,-4.4,4.6,19,38,102,123
"52",895,2009,2,2.7,13,432,136,175,29.3,57.6,2.2,11.8,8.6,18.9,-4.3,4.7,20,34,99,121
"53",899,2009,2,2.6,12.9,461,135,193,27.3,54.6,2,11.6,8.4,18.6,-4.4,4.6,19,37,109,126
"54",933,2009,2,2.6,13,447,136,183,28.2,55.6,2.1,11.7,8.5,18.8,-4.3,4.7,20,35,103,124
"55",974,2009,2,2.6,13,447,135,183,28.2,55.4,2.1,11.8,8.5,18.8,-4.4,4.7,20,35,103,126
"56",1012,2009,2,2.6,13,439,135,178,28.7,56.2,2.1,11.8,8.6,18.9,-4.4,4.7,19,34,100,125
"57",1068,2009,2,2.5,13,451,134,184,27.8,54.4,2,11.8,8.5,18.9,-4.5,4.6,19,35,103,128
"58",1069,2009,2,2.5,13,458,134,188,27.3,54,2,11.8,8.6,18.9,-4.5,4.6,19,36,106,129
"59",1160,2009,2,2.3,12.7,443,131,176,27.8,52.5,1.7,11.5,8.3,18.6,-4.8,4.4,18,36,94,129
"60",1200,2009,2,2.4,12.8,442,132,173,28,52.9,1.8,11.6,8.4,18.7,-4.7,4.4,18,35,94,129
"61",1235,2009,2,2.5,12.9,439,132,171,28.4,53.6,1.9,11.7,8.6,18.9,-4.7,4.5,19,33,93,128
"62",1272,2009,2,2.4,12.9,439,132,171,28.3,53.4,1.9,11.7,8.5,18.9,-4.7,4.5,19,33,93,128
"63",1273,2009,2,2.4,12.9,439,132,171,28.3,53.5,1.9,11.7,8.6,18.9,-4.7,4.5,19,33,93,128
"64",1276,2009,2,2.4,13,435,132,167,28.6,53.5,2,11.8,8.6,19,-4.7,4.5,19,32,91,130
"65",1319,2009,2,2.4,13,439,132,169,28.4,53.5,2,11.8,8.7,19.1,-4.7,4.5,19,33,93,131
"66",1320,2009,2,2.4,13,437,132,168,28.5,53.5,2,11.8,8.7,19.1,-4.7,4.5,19,32,92,131
"67",1321,2009,2,2.4,12.9,435,131,167,28.5,53.3,1.9,11.7,8.6,19,-4.7,4.5,18,32,92,131
"68",1322,2009,2,2.4,12.9,434,131,166,28.6,53.2,2,11.7,8.6,19,-4.7,4.5,18,32,90,131
"69",1356,2009,2,2.4,13,434,131,166,28.6,53.3,2,11.8,8.7,19.1,-4.8,4.5,18,32,90,131
"70",1421,2009,2,3,13.8,454,145,161,28.7,52.7,2.7,12.7,9,19.6,-3.7,5.8,23,26,94,153
"71",13,2009,3,2.1,11.8,601,128,335,20.1,78.8,1.4,10.6,7.2,16.9,-4.3,4.3,16,85,148,125
"72",20,2009,3,2,11.7,617,127,350,19.4,76.9,1.3,10.5,7,16.7,-4.4,4.3,15,89,155,128
"73",158,2009,3,3,13.4,375,135,170,34.6,99.7,2.7,12.2,9.1,19.3,-3.6,5.1,20,40,80,111
"74",159,2009,3,2.7,13,388,133,187,32.7,95.5,2.3,11.7,8.5,18.5,-3.9,4.9,18,46,85,112
"75",408,2009,3,3,13.7,374,134,165,34.9,97.7,2.9,12.3,9.4,19.6,-3.7,5.1,19,38,79,115
"76",454,2009,3,3,13.7,369,135,164,35.3,99.8,2.9,12.4,9.5,19.7,-3.7,5.2,20,38,79,112
"77",801,2009,3,3.2,14.2,335,136,144,39.4,107.8,3.2,12.9,9.9,20.3,-3.6,5.4,21,31,70,108
"78",844,2009,3,3.1,14.2,339,136,149,38.7,106.8,3.1,12.8,9.8,20.3,-3.6,5.4,20,33,72,108
"79",845,2009,3,3.1,14.1,340,135,150,38.5,105.9,3.1,12.8,9.8,20.2,-3.7,5.3,20,33,72,108
"80",846,2009,3,3.1,14.2,335,136,145,39.2,107.2,3.1,12.8,9.9,20.3,-3.6,5.4,20,32,70,108
"81",847,2009,3,3.1,14.3,327,136,140,40.3,109.2,3.1,12.9,9.9,20.4,-3.6,5.4,20,30,68,106
"82",851,2009,3,3.2,14.3,342,136,147,38.6,106.3,3.2,12.9,10,20.4,-3.6,5.4,21,31,73,109
"83",852,2009,3,3.2,14.3,348,136,150,37.9,104,3.2,12.9,9.9,20.4,-3.6,5.4,20,32,74,112
"84",892,2009,3,3.1,14.2,336,135,148,38.9,106.7,3,12.8,9.8,20.3,-3.7,5.3,20,33,71,108
"85",893,2009,3,3.1,14.2,336,135,147,39,106.6,3.1,12.8,9.8,20.3,-3.7,5.4,20,32,71,108
"86",894,2009,3,3.1,14.3,327,136,141,40.2,108.6,3.1,12.9,9.9,20.4,-3.6,5.4,20,31,68,106
"87",895,2009,3,3.3,14.5,316,138,132,42.2,113.3,3.4,13.1,10.2,20.8,-3.4,5.5,21,27,66,104
"88",899,2009,3,3.2,14.4,339,136,145,39,107.1,3.2,13,10,20.5,-3.6,5.5,21,30,72,109
"89",933,2009,3,3.3,14.5,327,137,138,40.5,109.5,3.3,13.1,10.2,20.7,-3.5,5.5,21,28,69,108
"90",974,2009,3,3.3,14.5,326,137,138,40.6,109.3,3.3,13.1,10.2,20.7,-3.5,5.5,21,28,69,108
"91",1012,2009,3,3.3,14.6,318,136,134,41.7,110.9,3.3,13.2,10.2,20.8,-3.6,5.5,21,27,67,107
"92",1068,2009,3,3.2,14.6,327,135,139,40.4,108.1,3.3,13.1,10.2,20.8,-3.6,5.5,20,28,70,109
"93",1069,2009,3,3.2,14.6,334,135,143,39.5,107.4,3.3,13.1,10.2,20.8,-3.6,5.5,20,29,72,110
"94",1160,2009,3,3,14.3,314,132,136,41.3,107.2,3,12.9,9.9,20.6,-4,5.2,19,29,66,108
"95",1200,2009,3,3,14.5,313,132,134,41.7,108.1,3.1,13,10.1,20.7,-3.9,5.3,19,28,65,108
"96",1235,2009,3,3.1,14.6,311,133,132,42.2,109.7,3.2,13.1,10.2,20.9,-3.9,5.3,20,27,65,107
"97",1272,2009,3,3.1,14.6,310,133,133,42.2,110.2,3.2,13.1,10.2,21,-3.9,5.3,20,27,65,107
"98",1273,2009,3,3.1,14.6,311,133,133,42.1,110.2,3.2,13.1,10.2,21,-3.9,5.3,19,27,65,107
"99",1276,2009,3,3.1,14.6,308,133,129,42.5,109.1,3.2,13.2,10.3,21,-3.9,5.4,19,25,64,108
"100",1319,2009,3,3.1,14.7,310,132,131,42.3,109.5,3.2,13.2,10.4,21.1,-3.9,5.4,19,26,66,108
"101",1320,2009,3,3.1,14.7,309,132,130,42.4,109.3,3.2,13.2,10.4,21.1,-3.9,5.4,19,26,65,109
"102",1321,2009,3,3.1,14.6,309,132,130,42.3,108.6,3.2,13.2,10.3,21,-3.9,5.3,19,25,65,109
"103",1322,2009,3,3.1,14.6,308,132,129,42.5,108.7,3.2,13.2,10.3,21,-3.9,5.3,19,25,64,109
"104",1356,2009,3,3.1,14.7,307,132,129,42.6,109.2,3.2,13.2,10.4,21.1,-3.9,5.3,19,25,64,108
"105",1421,2009,3,3.8,15.8,342,147,118,40.4,99.5,4,14.2,10.8,21.7,-2.7,6.7,26,19,65,131
"106",13,2009,4,2.8,12.3,631,139,297,20.2,59.5,2.2,11.2,7.9,17.8,-3.5,4.7,22,98,127,108
"107",20,2009,4,2.6,12.2,647,138,312,19.5,58.7,2,11.1,7.7,17.6,-3.7,4.6,21,104,132,109
"108",158,2009,4,3.7,13.7,429,146,135,32,71.7,3.4,12.7,9.8,20,-2.9,5.4,26,44,62,104
"109",159,2009,4,3.4,13.3,442,144,151,30.3,69,3,12.3,9.1,19.3,-3.2,5.2,25,52,66,105
"110",408,2009,4,3.8,13.9,431,146,132,32,71.3,3.5,12.9,10.1,20.3,-3,5.4,26,42,62,106
"111",454,2009,4,3.8,14,428,146,131,32.3,72.1,3.6,12.9,10.1,20.4,-2.9,5.5,26,42,61,105
"112",801,2009,4,3.9,14.4,395,147,113,35.3,78,3.8,13.4,10.5,21,-2.9,5.7,27,35,54,101
"113",844,2009,4,3.9,14.4,402,147,115,34.6,76.3,3.7,13.3,10.4,20.9,-2.9,5.7,27,37,54,102
"114",845,2009,4,3.9,14.3,403,147,116,34.4,75.8,3.7,13.3,10.3,20.9,-2.9,5.7,27,38,54,102
"115",846,2009,4,3.9,14.4,396,147,113,35.1,77.2,3.8,13.4,10.4,21,-2.9,5.7,27,36,53,102
"116",847,2009,4,3.9,14.4,387,147,109,36,78.8,3.8,13.4,10.5,21.1,-2.9,5.7,27,34,52,101
"117",851,2009,4,4,14.4,404,147,116,34.5,76.8,3.8,13.4,10.5,21.1,-2.9,5.8,27,35,56,102
"118",852,2009,4,3.9,14.4,411,147,118,34,75.5,3.8,13.4,10.5,21.1,-2.9,5.7,27,36,57,104
"119",892,2009,4,3.9,14.3,398,147,115,34.8,76.9,3.7,13.3,10.4,20.9,-3,5.7,27,37,53,102
"120",893,2009,4,3.9,14.4,398,147,114,34.9,76.8,3.7,13.3,10.4,21,-3,5.7,27,37,54,102
"121",894,2009,4,3.9,14.4,389,147,110,35.8,78,3.8,13.4,10.5,21.1,-2.9,5.7,27,35,51,101
"122",895,2009,4,4.1,14.7,375,149,102,37.6,81.7,4,13.7,10.8,21.4,-2.7,5.9,28,30,50,99
"123",899,2009,4,4,14.5,400,148,114,34.9,77.8,3.9,13.5,10.6,21.2,-2.9,5.8,27,35,55,102
"124",933,2009,4,4,14.6,389,148,108,36.1,79.2,4,13.6,10.7,21.4,-2.8,5.8,28,32,53,101
"125",974,2009,4,4,14.6,389,148,108,36.1,79.2,3.9,13.6,10.7,21.4,-2.8,5.8,28,32,53,101
"126",1012,2009,4,4,14.7,379,148,104,37,80.5,3.9,13.6,10.7,21.5,-2.9,5.8,27,31,51,101
"127",1068,2009,4,4,14.7,392,147,109,35.7,78.2,3.9,13.6,10.7,21.5,-3,5.8,27,32,53,103
"128",1069,2009,4,4,14.7,399,147,112,35,77.8,3.9,13.6,10.7,21.5,-3,5.8,27,33,55,103
"129",1160,2009,4,3.8,14.4,379,144,104,36.3,76.9,3.6,13.4,10.5,21.2,-3.3,5.5,26,34,48,104
"130",1200,2009,4,3.8,14.5,379,144,102,36.6,77.6,3.7,13.5,10.6,21.4,-3.2,5.6,26,32,48,104
"131",1235,2009,4,3.9,14.6,377,145,100,36.9,78.3,3.8,13.6,10.7,21.5,-3.2,5.7,26,31,48,104
"132",1272,2009,4,3.9,14.6,377,145,101,36.8,78.5,3.8,13.6,10.7,21.6,-3.2,5.7,26,31,48,104
"133",1273,2009,4,3.9,14.6,378,144,101,36.8,78.6,3.8,13.6,10.7,21.6,-3.2,5.7,26,31,48,103
"134",1276,2009,4,3.9,14.7,375,145,100,37,78.8,3.8,13.7,10.8,21.6,-3.2,5.7,26,30,48,103
"135",1319,2009,4,3.9,14.7,377,144,100,36.9,79,3.8,13.7,10.9,21.7,-3.2,5.7,26,30,48,103
"136",1320,2009,4,3.9,14.7,376,144,100,36.9,79,3.8,13.7,10.9,21.7,-3.2,5.7,26,30,48,103
"137",1321,2009,4,3.9,14.7,376,144,100,36.9,78.6,3.8,13.6,10.8,21.7,-3.2,5.6,26,30,48,103
"138",1322,2009,4,3.9,14.7,375,144,100,37,78.6,3.8,13.6,10.8,21.6,-3.2,5.6,26,30,48,103
"139",1356,2009,4,3.9,14.7,375,144,100,37,79,3.8,13.7,10.9,21.7,-3.3,5.6,26,30,48,102
"140",1421,2009,4,4.5,15.7,409,158,101,35.6,77.1,4.5,14.6,11.2,22.4,-2.1,6.9,32,25,55,110
"141",13,2009,5,2.3,12.4,633,141,339,19.5,71.7,1.3,11.3,7,17.9,-4.3,4.6,21,91,186,99
"142",20,2009,5,2.2,12.3,650,140,355,18.8,70.1,1.2,11.2,6.8,17.7,-4.4,4.6,21,96,193,101
"143",158,2009,5,3.3,14.3,405,148,189,32.8,96.1,2.7,12.9,9,20.6,-3.7,5.3,25,45,119,80
"144",159,2009,5,3,13.9,420,146,205,30.9,92.4,2.2,12.5,8.3,19.9,-3.9,5.1,24,51,126,82
"145",408,2009,5,3.3,14.5,403,147,186,33.1,95.3,2.8,13.1,9.2,20.9,-3.7,5.3,25,43,118,83
"146",454,2009,5,3.3,14.6,399,148,186,33.5,97.4,2.8,13.2,9.3,21,-3.7,5.3,25,43,119,81
"147",801,2009,5,3.5,15.1,362,149,166,37.3,106.6,3,13.7,9.7,21.8,-3.6,5.6,26,36,107,77
"148",844,2009,5,3.4,15.1,369,149,171,36.4,105.3,3,13.6,9.6,21.7,-3.7,5.5,26,37,112,76
"149",845,2009,5,3.4,15.1,370,149,171,36.2,104.2,2.9,13.6,9.6,21.7,-3.7,5.5,26,38,111,76
"150",846,2009,5,3.4,15.1,363,149,167,37,106.3,3,13.7,9.6,21.8,-3.7,5.5,26,37,109,76
"151",847,2009,5,3.5,15.1,354,149,161,38,108.3,3,13.7,9.7,21.8,-3.6,5.6,26,35,106,75
"152",851,2009,5,3.5,15.2,371,149,170,36.3,104.5,3,13.7,9.7,21.8,-3.6,5.6,26,36,112,78
"153",852,2009,5,3.5,15.2,377,149,174,35.7,102.7,3,13.7,9.7,21.8,-3.7,5.6,26,37,113,80
