OBJECTID,Card,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
48,1792,3,2700,0.140546903,0.542666674,0.402119771,0.384951229,0.175235649,1.154853687,0.47164011,0.528461361
49,1793,2,1800,0.274031878,0.319227278,0.045195401,0.296629578,0.0225977,0.593259156,0.296629578,0.314707738
50,1794,3,2700,0.58050102,0.681581259,0.101080239,0.638552686,0.042611216,1.915658057,0.653575778,0.675980163
51,1795,2,1800,0.165722385,0.209726155,0.04400377,0.18772427,0.022001885,0.37544854,0.18772427,0.205325778
52,1796,2,1800,0.221323505,0.237608209,0.016284704,0.229465857,0.008142352,0.458931714,0.229465857,0.235979739
53,1798,3,2700,0.301423401,0.394792259,0.093368858,0.361850023,0.042786131,1.08555007,0.38933441,0.393700689
54,1805,3,2700,0.268091768,0.398868918,0.13077715,0.328925739,0.053776693,0.986777216,0.31981653,0.383058441
55,1816,4,3600,0.107352339,0.288646221,0.181293882,0.198196048,0.089874383,0.792784192,0.198392816,0.288298607
56,1825,3,2700,0.113252811,0.19721061,0.083957799,0.158309676,0.034550925,0.474929027,0.164465606,0.190661609
57,1831,4,3600,-0.02087637,0.012180488,0.033056858,-0.005940919,0.014778711,-0.023763677,-0.007533897,0.010043748
58,1833,2,1800,0.317409545,0.348131984,0.030722439,0.332770765,0.01536122,0.66554153,0.332770765,0.345059741
59,1835,3,2700,0.453542322,0.574994087,0.121451765,0.5053868,0.051148613,1.516160399,0.48762399,0.557520068
60,1836,2,1800,-0.023232797,-0.000575191,0.022657606,-0.011903994,0.011328803,-0.023807989,-0.011903994,-0.002840952
61,1840,3,2700,0.097868919,0.24755913,0.149690211,0.158632949,0.064273478,0.475898847,0.130470797,0.224141464
62,1844,3,2700,0.240436032,0.267459244,0.027023211,0.253535981,0.01104753,0.760607943,0.252712667,0.264509928
63,1845,3,2700,0.351914823,0.38513124,0.033216417,0.369700213,0.013662354,1.10910064,0.372054577,0.382515907
64,1876,4,3600,0.135116965,0.466147065,0.331030101,0.25985004,0.124861702,1.03940016,0.219068065,0.398452879
65,1889,3,2700,0.417012334,0.551822305,0.134809971,0.473463227,0.057174636,1.420389682,0.451555043,0.531768852
66,1916,3,2700,0.078003362,0.168248281,0.090244919,0.128168593,0.037526213,0.384505779,0.138254136,0.162249452
67,1931,3,2700,0.579476595,0.631254435,0.05177784,0.605154276,0.021140325,1.815462828,0.604731798,0.625949907
68,1936,2,1800,0.033762887,0.047289014,0.013526127,0.04052595,0.006763063,0.081051901,0.04052595,0.045936401
69,1942,4,3600,-0.00918428,0.008902927,0.018087207,-0.001967734,0.007068667,-0.007870937,-0.003794792,0.006109592
70,1979,3,2700,0.459963232,0.482019007,0.022055775,0.471973201,0.009110717,1.415919602,0.473937362,0.480402678
71,1981,2,1800,0.424702644,0.455909491,0.031206846,0.440306067,0.015603423,0.880612135,0.440306067,0.452788806
72,1982,3,2700,0.259411663,0.427551121,0.168139458,0.325877676,0.073017768,0.977633029,0.290670246,0.400174946
73,2034,3,2700,0.384908706,0.574257195,0.189348489,0.491743515,0.079191121,1.475230545,0.516064644,0.562618685
74,2035,3,2700,0.287770241,0.439472526,0.151702285,0.369308253,0.062452207,1.107924759,0.380681992,0.427714419
75,2041,3,2700,0.410839856,0.432169795,0.021329939,0.424557199,0.00971914,1.273671597,0.430661947,0.431868225
76,2042,3,2700,0.044322509,0.168116316,0.123793807,0.090356695,0.055293786,0.271070085,0.05863126,0.146219305
77,2043,3,2700,0.097968876,0.132827982,0.034859106,0.119399453,0.015314784,0.35819836,0.127401501,0.131742686
78,2107,2,1800,0.564002037,0.599776804,0.035774767,0.581889421,0.017887384,1.163778841,0.581889421,0.596199328
79,2108,4,3600,0.161134392,0.29202649,0.130892098,0.247675158,0.051096858,0.990700632,0.268769875,0.287141311
80,2111,4,3600,0.221222579,0.31707269,0.09585011,0.264963415,0.035998302,1.059853658,0.260779195,0.305021337
81,2113,3,2700,0.265721112,0.306151956,0.040430844,0.279452085,0.018882223,0.838356256,0.266483188,0.298218203
82,2115,2,1800,0.417411685,0.456533939,0.039122254,0.436972812,0.019561127,0.873945624,0.436972812,0.452621713
83,2155,3,2700,0.181858584,0.238067642,0.056209058,0.213550314,0.023501327,0.640650943,0.220724717,0.234599057
84,2158,2,1800,0.005937965,0.019588707,0.013650742,0.012763336,0.006825371,0.025526672,0.012763336,0.018223633
85,2159,3,2700,0.732365608,0.804086924,0.071721315,0.761377394,0.030840535,2.284132183,0.747679651,0.792805469
86,2163,3,2700,0.459963232,0.482019007,0.022055775,0.471973201,0.009110717,1.415919602,0.473937362,0.480402678
87,2195,3,2700,0.432376355,0.549092889,0.116716534,0.482342819,0.049105019,1.447028458,0.465559214,0.532386154
88,2200,3,2700,0.340441853,0.528015375,0.187573522,0.425906877,0.077475633,1.27772063,0.409263402,0.504264981
89,2202,3,2700,0.181243613,0.326137245,0.144893631,0.24457029,0.060542392,0.73371087,0.226330012,0.306175798
90,2205,3,2700,0.147444084,0.211585477,0.064141393,0.185581878,0.027555502,0.556745633,0.197716072,0.208811596
91,2208,3,2700,-0.018630777,0.002405197,0.021035973,-0.010666454,0.009316352,-0.031999361,-0.015773781,-0.001230599
92,2210,3,2700,0.208478287,0.301638514,0.093160227,0.255925809,0.038052281,0.767777428,0.257660627,0.292842937
93,2211,2,1800,0.589774489,0.688780308,0.099005818,0.639277399,0.049502909,1.278554797,0.639277399,0.678879726
94,2212,2,1800,0.309364676,0.360923678,0.051559001,0.335144177,0.025779501,0.670288354,0.335144177,0.355767778
95,2213,2,1800,0.102739543,0.174410224,0.071670681,0.138574883,0.035835341,0.277149767,0.138574883,0.167243156
96,2251,3,2700,0.171134219,0.274020374,0.102886155,0.236722703,0.046523598,0.710168108,0.265013516,0.272219002
97,2253,2,1800,-0.064248294,-0.057763457,0.006484836,-0.061005875,0.003242418,-0.122011751,-0.061005875,-0.058411941
98,2269,2,1800,0.056122489,0.069293946,0.013171457,0.062708218,0.006585728,0.125416435,0.062708218,0.0679768
99,2271,4,3600,-0.012155053,-0.005782319,0.006372734,-0.009261296,0.002312923,-0.037045185,-0.009553906,-0.006730071
100,2272,3,2700,0.237798229,0.293442547,0.055644318,0.273413613,0.025249101,0.82024084,0.289000064,0.292554051
101,2311,2,1800,0.351280242,0.597784936,0.246504694,0.474532589,0.123252347,0.949065179,0.474532589,0.573134467
102,2312,3,2700,0.345800668,0.43592307,0.090122402,0.384998629,0.037715112,1.154995888,0.373272151,0.423392886
103,2317,4,3600,0.281464219,0.361380756,0.079916537,0.320866942,0.036019276,1.28346777,0.320311397,0.358534896
104,2318,2,1800,0.359826297,0.433027059,0.073200762,0.396426678,0.036600381,0.792853355,0.396426678,0.425706983
105,2334,3,2700,-0.03392902,-0.02844879,0.00548023,-0.030727861,0.002330367,-0.092183584,-0.029805774,-0.028720187
106,2336,3,2700,0.596212149,0.687409282,0.091197133,0.647473594,0.038082663,1.942420781,0.65879935,0.681687295
107,2378,2,1800,0.413469136,0.437477261,0.024008125,0.425473198,0.012004063,0.850946397,0.425473198,0.435076448
108,2379,4,3600,0.212521568,0.412210435,0.199688867,0.289266359,0.075051446,1.157065436,0.266166717,0.372940525
109,2380,4,3600,0.110533215,0.168885216,0.058352001,0.135127528,0.021413845,0.540510111,0.13054584,0.158849503
110,2412,2,1800,0.574509144,0.680527568,0.106018424,0.627518356,0.053009212,1.255036712,0.627518356,0.669925725
111,2414,3,2700,0.035442814,0.080850571,0.045407757,0.059165029,0.018593496,0.177495088,0.061201703,0.076920798
112,2460,2,1800,0.580000937,0.687849462,0.107848525,0.6339252,0.053924263,1.267850399,0.6339252,0.67706461
113,2523,2,1800,0.089806542,0.120697394,0.030890852,0.105251968,0.015445426,0.210503936,0.105251968,0.117608309
114,2626,4,3600,0.267150968,0.465366751,0.198215783,0.366770342,0.079273342,1.467081368,0.367281824,0.451660895
115,2644,3,2700,0.233578742,0.323198378,0.089619637,0.272646646,0.037477358,0.817939937,0.261162817,0.310791266
116,2646,3,2700,0.076451533,0.131927744,0.055476211,0.10536698,0.022709189,0.31610094,0.107721664,0.127086528
117,2647,3,2700,0.548374116,0.720945895,0.172571778,0.625565251,0.071616564,1.876695752,0.607375741,0.698231864
118,2662,3,2700,-0.045070712,0.049285069,0.094355781,-0.008456413,0.041316032,-0.02536924,-0.029583598,0.033511336
119,2664,3,2700,0.488382429,0.695933044,0.207550615,0.593466928,0.08475241,1.780400783,0.59608531,0.675963497
120,1511,2,1800,0.214783177,0.216615796,0.001832619,0.215699486,0.00091631,0.431398973,0.215699486,0.216432534
121,13,3,2700,0.341329694,0.531202614,0.189872921,0.445652902,0.078643773,1.336958706,0.464426398,0.517847371
122,20,4,3600,0.21775651,0.634968221,0.417211711,0.394513346,0.153049069,1.578053385,0.362664327,0.564105815
123,1653,4,3600,0.028162835,0.183075771,0.154912936,0.140470378,0.065043896,0.561881511,0.175321452,0.182465452
124,1564,3,2700,0.256625473,0.320023358,0.063397884,0.286889811,0.025961474,0.860669434,0.284020603,0.312822807
125,1476,4,3600,0.446541309,0.49791652,0.05137521,0.47110372,0.023160212,1.884414881,0.469978526,0.495612663
126,1479,3,2700,0.36410138,0.436434418,0.072333038,0.396008879,0.030137848,1.188026637,0.387490839,0.426645702
127,1481,3,2700,0.128603145,0.45887199,0.330268845,0.309716597,0.136712266,0.929149792,0.341674656,0.435432523
128,1485,3,2700,0.502657115,0.564856887,0.062199771,0.536528627,0.025693691,1.609585881,0.542071879,0.560299885
129,1498,3,2700,0.448856443,0.515838206,0.066981763,0.481394758,0.027378353,1.444184273,0.479489625,0.50856849
130,1505,2,1800,0.246403664,0.356386364,0.109982699,0.301395014,0.05499135,0.602790028,0.301395014,0.345388094
131,1510,4,3600,0.331254184,0.415532023,0.084277838,0.370707542,0.029960654,1.482830167,0.36802198,0.401961046
132,1518,4,3600,0.151726604,0.294514745,0.142788142,0.212938055,0.053263507,0.851752222,0.202755436,0.272753805
133,1522,4,3600,0.134866059,0.182889417,0.048023358,0.166988872,0.018820928,0.667955488,0.175100006,0.180720422
134,1527,3,2700,0.334149539,0.437297553,0.103148013,0.391799092,0.042977629,1.175397277,0.403950185,0.430628079
135,1529,3,2700,0.274070978,0.282020867,0.007949889,0.277873198,0.003254708,0.833619595,0.27752775,0.281122243
136,1542,3,2700,0.321003288,0.472841114,0.151837826,0.419755727,0.069894163,1.259267181,0.465422779,0.471357447
137,1544,3,2700,0.618048012,0.66871959,0.050671577,0.648930609,0.022123945,1.946791828,0.660024226,0.666980517
138,1552,4,3600,0.200230524,0.361570656,0.161340132,0.27169146,0.059606803,1.086765841,0.26248233,0.338055435
139,1562,3,2700,0.623401046,0.684556842,0.061155796,0.652406693,0.025065564,1.957220078,0.64926219,0.677497911
140,1430,4,3600,-0.182591304,-0.099973194,0.08261811,-0.136298129,0.030039784,-0.545192517,-0.131314009,-0.107282815
141,1438,4,3600,0.052026618,0.163804352,0.111777734,0.118806559,0.045217868,0.475226235,0.129697632,0.16166964
142,1440,4,3600,0.102541499,0.216724381,0.114182882,0.168727448,0.042707593,0.674909793,0.177821957,0.209533852
143,1450,4,3600,-0.024777424,0.077790305,0.102567729,0.023661856,0.036779714,0.094647422,0.020817271,0.063008134
144,1460,6,5400,-0.017251184,0.21875982,0.236011004,0.123687882,0.074330403,0.742127294,0.139122263,0.195797808
145,1461,4,3600,-0.111977965,-0.059814021,0.052163944,-0.093471164,0.02122795,-0.373884656,-0.101046335,-0.06909188
146,1467,6,5400,-0.273938388,-0.016698645,0.257239742,-0.146391213,0.094013926,-0.87834728,-0.128973663,-0.043727444
147,814,4,3600,0.228870675,0.376730412,0.147859737,0.303691421,0.058893941,1.214765683,0.304582298,0.36658729
148,1478,4,3600,0.23605904,0.31752941,0.08147037,0.273567338,0.033155396,1.09426935,0.27034045,0.310203108
149,1482,3,2700,0.042570058,0.101509556,0.058939498,0.063880257,0.026685837,0.191640772,0.047561157,0.090719876
150,1487,3,2700,0.042570058,0.101509556,0.058939498,0.062216558,0.027784346,0.186649673,0.042570058,0.089721657
151,1507,3,2700,0.305372715,0.371542484,0.066169769,0.346620232,0.029376808,1.039860696,0.362945497,0.369823086
152,1508,3,2700,0.415901959,0.493840069,0.07793811,0.467103183,0.036216618,1.40130955,0.491567522,0.493385559
153,1526,4,3600,-0.191352531,-0.165612191,0.02574034,-0.183182761,0.010278161,-0.732731044,-0.187883161,-0.171931936
154,1535,2,1800,0.369597882,0.388500452,0.01890257,0.379049167,0.009451285,0.758098334,0.379049167,0.386610195
155,1538,3,2700,0.104974926,0.169186786,0.06421186,0.138186256,0.026260953,0.414558768,0.140397057,0.16342884
156,1539,4,3600,0.062420405,0.122137204,0.059716798,0.082942003,0.023695069,0.331768014,0.073605202,0.109843285
157,1540,3,2700,0.105998255,0.140445367,0.034447111,0.118172698,0.015771948,0.354518093,0.108074471,0.133971187
158,1554,4,3600,0.175323322,0.215966195,0.040642872,0.193335801,0.017272372,0.773343205,0.191026844,0.212430802
159,1557,3,2700,0.360484809,0.426314563,0.065829754,0.397788972,0.027582442,1.193366915,0.406567544,0.422365159
160,1558,3,2700,0.124325991,0.307783574,0.183457583,0.191611126,0.082488982,0.574833378,0.142723814,0.274771622
161,1559,3,2700,0.395260364,0.444077343,0.048816979,0.425758183,0.02171043,1.277274549,0.437936842,0.442849243
162,1560,3,2700,0.021730602,0.082569703,0.060839102,0.049342188,0.025152907,0.148026563,0.043726258,0.074801014
163,1567,3,2700,0.110510074,0.207011417,0.096501343,0.16284542,0.03981776,0.488536261,0.171014771,0.199812087
164,1569,4,3600,0.522057295,0.526734173,0.004676878,0.524164736,0.002046459,2.096658945,0.523933738,0.526396126
165,1571,3,2700,0.626881957,0.66952914,0.042647183,0.647381783,0.017449572,1.942145348,0.645734251,0.664770162
166,1573,2,1800,0.089650013,0.241993964,0.152343951,0.165821988,0.076171976,0.331643976,0.165821988,0.226759569
167,1577,3,2700,0.271941841,0.416100204,0.144158363,0.366903027,0.067162325,1.100709081,0.412667036,0.41541357
168,1578,4,3600,0.338866204,0.439843506,0.100977302,0.388449177,0.044362744,1.553796709,0.387543499,0.435319638
169,1579,3,2700,0.26383397,0.385226846,0.121392876,0.309426039,0.053965936,0.928278118,0.279217303,0.364024937
170,1580,2,1800,0.064778179,0.211072251,0.146294072,0.137925215,0.073147036,0.27585043,0.137925215,0.196442844
171,1581,4,3600,0.322140664,0.443911344,0.12177068,0.388929509,0.044891564,1.555718035,0.394833013,0.433966964
172,1583,3,2700,0.040493891,0.247224867,0.206730977,0.166352769,0.090193429,0.499058306,0.211339548,0.240047804
173,1584,2,1800,0.178118095,0.182378709,0.004260615,0.180248402,0.002130307,0.360496804,0.180248402,0.181952648
174,1587,4,3600,-0.057943154,0.017913811,0.075856965,-0.019439316,0.026955899,-0.077757264,-0.01886396,0.008003343
175,1591,3,2700,0.049326483,0.1021953,0.052868817,0.067467804,0.024564254,0.202403411,0.050881628,0.091932566
176,1592,4,3600,0.070172749,0.161877766,0.091705017,0.102027897,0.037319713,0.408111587,0.088030536,0.144843124
177,1594,3,2700,-0.076063193,-0.012409215,0.063653979,-0.0537639,0.029272151,-0.161291701,-0.072819293,-0.02449123
178,1596,2,1800,0.018002523,0.036070459,0.018067935,0.027036491,0.009033968,0.054072982,0.027036491,0.034263665
179,1598,3,2700,0.152742133,0.188810319,0.036068186,0.167337224,0.015507175,0.502011672,0.16045922,0.183140099
180,1601,2,1800,0.173525989,0.182244331,0.008718342,0.17788516,0.004359171,0.35577032,0.17788516,0.181372496
181,1604,2,1800,0.049026817,0.052340198,0.003313381,0.050683508,0.001656691,0.101367015,0.050683508,0.05200886
182,1605,3,2700,-0.0186501,0.075216077,0.093866177,0.020949161,0.039699453,0.062847482,0.006281504,0.061429163
183,1606,3,2700,0.255930901,0.324599564,0.068668664,0.285518527,0.028826376,0.856555581,0.276025116,0.314884675
184,1607,3,2700,0.003741392,0.089770719,0.086029328,0.051549694,0.035769617,0.154649083,0.061136972,0.08404397
185,1608,3,2700,-0.128714889,-0.069010742,0.059704147,-0.100489937,0.024482495,-0.30146981,-0.103744179,-0.075957429
186,1609,2,1800,0.080946773,0.084321648,0.003374875,0.082634211,0.001687437,0.165268421,0.082634211,0.08398416
187,1617,3,2700,0.108934142,0.195193782,0.086259641,0.155237896,0.035500263,0.465713687,0.161585763,0.188472179
188,1619,3,2700,0.317579359,0.382477194,0.064897835,0.352329999,0.026693645,1.056989998,0.356933445,0.377368444
189,1620,3,2700,0.476322383,0.506376088,0.030053705,0.494435738,0.013022693,1.483307213,0.500608742,0.505222619
190,1623,2,1800,0.15038228,0.382339925,0.231957644,0.266361102,0.115978822,0.532722205,0.266361102,0.35914416
191,1624,3,2700,-0.085958965,0.032065187,0.118024152,-0.030001449,0.048376414,-0.090004347,-0.036110569,0.018430036
192,1627,4,3600,0.010186155,0.200215638,0.190029482,0.119189251,0.07079759,0.476757002,0.133177605,0.187485985
193,1628,2,1800,0.091187425,0.14174749,0.050560065,0.116467457,0.025280032,0.232934915,0.116467457,0.136691483
194,1630,3,2700,0.118469998,0.179922581,0.061452582,0.145619417,0.025592799,0.436858252,0.138465673,0.171631199
195,1640,3,2700,0.163832054,0.223329335,0.059497282,0.188509082,0.025326474,0.565527245,0.178365856,0.21433664
196,1643,2,1800,-0.097732,-0.049842399,0.047889601,-0.073787199,0.023944801,-0.147574399,-0.073787199,-0.054631359
197,1644,2,1800,-0.072000995,-0.025287038,0.046713958,-0.048644016,0.023356979,-0.097288033,-0.048644016,-0.029958433
198,1645,4,3600,0.073530026,0.268560112,0.195030086,0.1809317,0.070834383,0.723726802,0.190818332,0.250690198
199,1657,4,3600,-0.044881817,0.139824197,0.184706014,0.057008082,0.066088436,0.228032328,0.066544974,0.11932172
200,1658,4,3600,-0.035544425,0.017601795,0.053146221,-0.006080291,0.01966881,-0.024321166,-0.003189268,0.013504339
201,1662,4,3600,0.21449022,0.340267152,0.125776932,0.281679515,0.052989414,1.126718059,0.285980344,0.33607004
