"","X","SampleSite_ID","BEC_Zone","BEC_Subzone","BEC_Variant","SPECIES_CD_1_1","SPECIES_PCT_1_1","SPECIES_CD_2_1","SPECIES_PCT_2_1","SPECIES_CD_3_1","SPECIES_PCT_3_1","SPECIES_CD_4_1","SPECIES_PCT_4_1","PLI_percent_pre","FDI_percent_pre","SX_percent_pre","AT_percent_pre","Species_pre","Year","Dominant_pre","LeadingSpecies_pre","LeadingPercent_pre","SecondSpecies_pre","SecondPercent_pre","ThirdSpecies_pre","ThirdPercent_pre","FourthSpecies_pre","FourthPercent_pre","SpeciesAll","PLI_percent","FDI_percent","SX_percent","AT_percent","Species","Dominant","LeadingSpecies","LeadingPercent","SecondSpecies","SecondPercent","ThirdSpecies","ThirdPercent","FourthSpecies","FourthPercent","Trans"
"11",11,"227","SBPS","xc",NA,"PLI",97,"SX",3,"",NA,"",NA,97,0,3,0," PLI SX",2023,"PLI","PLI",97,"SX",3,NA,NA,NA,NA,"AT, PLI",94,0,0,6," PLI AT","PLI","PLI",94,"AT",6,NA,NA,NA,NA,"static"
"12",12,"229","SBPS","xc",NA,"SX",46,"AT",38,"PLI",16,"",NA,16,0,46,38," PLI SX AT",2023,"Mix","SX",46,"AT",38,"PLI",16,NA,NA,"AT, PLI, SX",6,0,21,73," PLI SX AT","Mix","AT",73,"SX",21,"PLI",6,NA,NA,"static"
"13",13,"231","IDF","dk",4,"PLI",85,"FDI",10,"AT",4,"SX",1,85,10,1,4," PLI FDI SX AT",2023,"PLI","PLI",85,"FDI",10,"AT",4,"SX",1,"AT, PLI",19,0,0,81," PLI AT","AT","AT",81,"PLI",19,NA,NA,NA,NA,"shift"
"14",14,"232","IDF","dk",4,"PLI",65,"FDI",31,"AT",3,"SX",1,65,31,1,3," PLI FDI SX AT",2023,"Mix","PLI",65,"FDI",31,"AT",3,"SX",1,"AT, FDI, PLI",33,61,0,6," PLI FDI AT","Mix","FDI",61,"PLI",33,"AT",6,NA,NA,"static"
"15",15,"234","IDF","dk",4,"PLI",51,"AT",44,"SX",3,"FDI",2,51,2,3,44," PLI FDI SX AT",2023,"Mix","PLI",51,"AT",44,"SX",3,"FDI",2,"AT, PLI",25,0,0,75," PLI AT","Mix","AT",75,"PLI",25,NA,NA,NA,NA,"static"
"16",16,"235","IDF","dk",4,"PLI",68,"FDI",23,"AT",6,"SX",3,68,23,3,6," PLI FDI SX AT",2023,"Mix","PLI",68,"FDI",23,"AT",6,"SX",3,"AT, FDI",0,3,0,97," FDI AT","AT","AT",97,"FDI",3,NA,NA,NA,NA,"shift"
"17",17,"276","IDF","dk",4,"PLI",53,"FDI",27,"SX",13,"AT",7,53,27,13,7," PLI FDI SX AT",2023,"Mix","PLI",53,"FDI",27,"SX",13,"AT",7,"FDI, PLI",25,75,0,0," PLI FDI","Mix","FDI",75,"PLI",25,NA,NA,NA,NA,"static"
"18",18,"279","IDF","dk",4,"PLI",64,"AT",27,"FDI",6,"SX",3,64,6,3,27," PLI FDI SX AT",2023,"Mix","PLI",64,"AT",27,"FDI",6,"SX",3,"AT",0,0,0,100," AT","AT","AT",100,NA,NA,NA,NA,NA,NA,"shift"
"19",19,"281","IDF","dk",4,"PLI",71,"FDI",20,"AT",8,"SX",1,71,20,1,8," PLI FDI SX AT",2023,"Mix","PLI",71,"FDI",20,"AT",8,"SX",1,"AT, PLI",33,0,0,67," PLI AT","Mix","AT",67,"PLI",33,NA,NA,NA,NA,"static"
"20",20,"282","IDF","dk",4,"PLI",78,"FDI",19,"AT",2,"SX",1,78,19,1,2," PLI FDI SX AT",2023,"Mix","PLI",78,"FDI",19,"AT",2,"SX",1,"AT, PLI",1,0,0,99," PLI AT","AT","AT",99,"PLI",1,NA,NA,NA,NA,"shift"
"21",21,"284","IDF","dk",4,"FDI",55,"SX",26,"PLI",16,"AT",3,16,55,26,3," PLI FDI SX AT",2023,"Mix","FDI",55,"SX",26,"PLI",16,"AT",3,"FDI, PLI",73,27,0,0," PLI FDI","Mix","PLI",73,"FDI",27,NA,NA,NA,NA,"static"
"22",22,"319","SBPS","xc",NA,"PLI",96,"AT",4,"",NA,"",NA,96,0,0,4," PLI AT",2023,"PLI","PLI",96,"AT",4,NA,NA,NA,NA,"AT, PLI",5,0,0,95," PLI AT","AT","AT",95,"PLI",5,NA,NA,NA,NA,"shift"
"23",23,"320","IDF","dk",4,"FDI",82,"PLI",17,"AT",1,"",NA,17,82,0,1," PLI FDI AT",2023,"FDI","FDI",82,"PLI",17,"AT",1,NA,NA,"FDI, PLI",85,15,0,0," PLI FDI","PLI","PLI",85,"FDI",15,NA,NA,NA,NA,"shift"
"24",24,"324","IDF","dk",4,"PLI",60,"FDI",22,"AT",15,"SX",3,60,22,3,15," PLI FDI SX AT",2023,"Mix","PLI",60,"FDI",22,"AT",15,"SX",3,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"shift"
"25",25,"327","IDF","dk",4,"FDI",47.09999847,"PLI",46.90000153,"SX",5,"AT",1,46.90000153,47.09999847,5,1," PLI FDI SX AT",2023,"Mix","FDI",47.09999847,"PLI",46.90000153,"SX",5,"AT",1,"FDI, PLI",45,55,0,0," PLI FDI","Mix","FDI",55,"PLI",45,NA,NA,NA,NA,"static"
"26",26,"330","IDF","dk",4,"FDI",45,"PLI",37,"AT",12,"SX",6,37,45,6,12," PLI FDI SX AT",2023,"Mix","FDI",45,"PLI",37,"AT",12,"SX",6,"AT, FDI, PLI",14,43,0,43," PLI FDI AT","Mix","FDI",43,"AT",43,"PLI",14,NA,NA,"static"
"27",27,"331","IDF","dk",4,"FDI",70,"PLI",30,"",NA,"",NA,30,70,0,0," PLI FDI",2023,"Mix","FDI",70,"PLI",30,NA,NA,NA,NA,"AT, FDI",0,98,0,2," FDI AT","FDI","FDI",98,"AT",2,NA,NA,NA,NA,"shift"
"28",28,"360","SBPS","xc",NA,"PLI",84,"AT",12,"SX",4,"",NA,84,0,4,12," PLI SX AT",2023,"PLI","PLI",84,"AT",12,"SX",4,NA,NA,"AT, FDI, PLI, SX",3,1,3,94," PLI FDI SX AT","AT","AT",94,"PLI",3,"SX",3,"FDI",1,"shift"
"29",29,"366","IDF","dk",4,"FDI",71,"PLI",24,"AT",5,"",NA,24,71,0,5," PLI FDI AT",2023,"Mix","FDI",71,"PLI",24,"AT",5,NA,NA,"FDI, PLI",69,31,0,0," PLI FDI","Mix","PLI",69,"FDI",31,NA,NA,NA,NA,"static"
"30",30,"367","IDF","dk",4,"PLI",90,"SX",6,"AT",2,"FDI",2,90,2,6,2," PLI FDI SX AT",2023,"PLI","PLI",90,"SX",6,"FDI",2,"AT",2,"AT",0,0,0,100," AT","AT","AT",100,NA,NA,NA,NA,NA,NA,"shift"
"31",31,"369","IDF","dk",4,"PLI",79,"SX",10,"FDI",8,"AT",3,79,8,10,3," PLI FDI SX AT",2023,"Mix","PLI",79,"SX",10,"FDI",8,"AT",3,"NR",0,0,0,0,"NR","NR","NR",NA,NA,NA,NA,NA,NA,NA,"shift"
"32",32,"370","IDF","dk",4,"PLI",50,"FDI",45,"SX",5,"",NA,50,45,5,0," PLI FDI SX",2023,"Mix","PLI",50,"FDI",45,"SX",5,NA,NA,"FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA,"shift"
"33",33,"371","IDF","dk",4,"FDI",64,"PLI",36,"",NA,"",NA,36,64,0,0," PLI FDI",2023,"Mix","FDI",64,"PLI",36,NA,NA,NA,NA,"FDI, PLI",4,96,0,0," PLI FDI","FDI","FDI",96,"PLI",4,NA,NA,NA,NA,"shift"
"34",34,"375","IDF","dk",4,"FDI",61,"PLI",35,"SX",4,"",NA,35,61,4,0," PLI FDI SX",2023,"Mix","FDI",61,"PLI",35,"SX",4,NA,NA,"FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA,"shift"
"35",35,"408","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"36",36,"419","IDF","dk",4,"PLI",58,"FDI",39,"SX",3,"",NA,58,39,3,0," PLI FDI SX",2023,"Mix","PLI",58,"FDI",39,"SX",3,NA,NA,"FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA,"shift"
