"","ID1","ID2","lat","long","el","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD_0","DD5","DD_18","DD18","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","Eref","CMD","MAR","RH","CMI","DD1040","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tave_wt","Tave_sp","Tave_sm","Tave_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Rad_wt","Rad_sp","Rad_sm","Rad_at","DD_0_wt","DD_0_sp","DD_0_sm","DD_0_at","DD5_wt","DD5_sp","DD5_sm","DD5_at","DD_18_wt","DD_18_sp","DD_18_sm","DD_18_at","DD18_wt","DD18_sp","DD18_sm","DD18_at","NFFD_wt","NFFD_sp","NFFD_sm","NFFD_at","PAS_wt","PAS_sp","PAS_sm","PAS_at","Eref_wt","Eref_sp","Eref_sm","Eref_at","CMD_wt","CMD_sp","CMD_sm","CMD_at","RH_wt","RH_sp","RH_sm","RH_at","CMI_wt","CMI_sp","CMI_sm","CMI_at"
"1","814","2010",52.27596,-123.3945,1150,2.8,15,-9.5,24.5,350,164,36.6,91.7,1028,1076,5537,23,133,178,247,68,143,-43.9,33.7,572,351,-9999,55,-13.8,405,-0.4,9.8,20.6,9.2,-12.5,-3.9,6,-3.5,-6.5,2.9,13.3,2.8,92,67,134,63,-9999,15,20.3,7.7,734,118,0,176,1,114,765,196,2325,1389,440,1384,0,2,17,4,1,19,87,25,78,27,2,37,0,147,331,94,0,99,197,55,52,53,56,57,8.56,-2.16,-15.25,-4.95
"2","1099","2010",52.00309,-123.6444,1089,3.2,14.5,-8.8,23.4,318,133,41.3,109,949,1086,5411,21,135,178,248,70,135,-42.7,34,587,393,-9999,55,-18.76,401,-0.1,10.2,20.8,9.8,-11.3,-3.7,5.5,-2.9,-5.7,3.2,13.1,3.4,84,69,108,60,-9999,14.9,20.2,7,686,111,0,151,1,124,749,211,2263,1362,455,1331,0,2,15,4,1,20,86,27,68,27,1,39,0,152,338,97,0,105,230,59,55,53,54,57,7.98,-2.5,-18.35,-5.89
"3","1207","2010",52.02818,-123.5554,1049,3.3,14.9,-8.9,23.8,326,137,40.9,108.6,936,1130,5341,25,137,177,248,72,134,-42.7,34.3,596,398,-9999,55,-19.45,430,-0.1,10.5,21.2,10,-11.3,-3.4,5.7,-2.9,-5.7,3.5,13.4,3.5,86,71,112,61,-9999,14.8,20.4,7.2,685,103,0,148,1,135,776,218,2262,1334,428,1317,0,3,17,5,1,21,87,28,70,26,1,37,0,155,343,98,0,107,231,59,55,53,53,57,8.18,-2.93,-18.67,-6.03
"4","1209","2010",52.02754,-123.5262,1043,3.4,15,-8.8,23.7,332,139,40.5,107.7,924,1143,5311,26,139,175,249,74,134,-42.4,34.4,597,395,-9999,55,-19.07,439,-0.1,10.6,21.2,10,-11.2,-3.3,5.8,-2.8,-5.6,3.6,13.5,3.6,87,72,113,62,-9999,15,20.4,7.4,677,101,0,146,1,138,783,221,2252,1326,422,1311,0,3,18,5,1,22,87,28,70,25,1,38,0,156,343,98,0,106,230,59,55,53,54,57,8.3,-2.87,-18.52,-5.98
"5","1247","2010",52.03594,-123.4966,1048,3.4,15,-8.8,23.8,333,141,40.3,106.4,925,1142,5313,26,139,175,249,74,133,-42.5,34.4,596,393,-9999,55,-18.86,439,-0.1,10.5,21.2,10,-11.2,-3.3,5.8,-2.8,-5.6,3.6,13.5,3.6,87,72,115,62,-9999,15.2,20.6,8,679,100,0,147,1,138,783,220,2254,1325,422,1313,0,3,18,5,1,22,87,28,70,25,1,37,0,156,343,98,0,106,227,59,55,54,54,57,8.31,-2.91,-18.3,-5.97
"6","1362","2010",52.0619,-123.4661,976,3.8,15.5,-8.7,24.3,312,138,44.1,112.6,901,1230,5195,33,144,172,251,79,116,-42.1,34.9,610,413,-9999,55,-23.2,500,-0.1,11.1,21.8,10.4,-11.1,-2.9,6.3,-2.6,-5.6,4.1,14.1,3.9,80,64,114,57,-9999,15,20.3,7.3,672,90,0,139,2,157,837,234,2246,1283,378,1288,0,3,24,6,1,25,88,29,64,20,1,32,0,160,350,100,0,115,237,61,56,53,54,57,7.58,-4.51,-19.41,-6.85
"7","1430","2010",52.11433,-123.3897,892,4.3,16.4,-8.4,24.8,302,139,47.4,117.7,864,1358,5016,46,151,166,254,88,101,-41.3,35.7,629,433,-9999,56,-27.55,592,-0.1,11.9,22.7,10.7,-10.6,-2.3,7,-2.1,-5.4,4.8,14.9,4.3,76,59,116,55,-9999,14.5,20.1,7.2,658,77,0,129,2,189,914,253,2228,1221,312,1255,0,4,36,7,1,29,89,32,59,14,1,27,0,166,361,102,0,124,245,63,58,53,53,57,7.08,-6.37,-20.69,-7.58
"8","1438","2010",52.14345,-123.4903,1066,3.2,15.1,-8.9,24,319,148,41.6,101.6,961,1135,5380,25,134,179,247,68,122,-43,34.5,599,392,-9999,54,-20.59,436,-0.2,10.4,21.4,9.9,-11.6,-3.7,5.7,-3.2,-5.9,3.4,13.5,3.4,80,63,120,61,-9999,15.3,20.3,8,697,110,0,155,1,131,791,212,2276,1348,419,1337,0,3,18,4,1,20,87,26,65,21,1,35,0,156,346,98,0,109,226,58,54,53,53,56,7.5,-3.63,-18.42,-6.03
"9","1440","2010",52.1412,-123.388,967,3.9,16,-8.7,24.7,315,146,44.1,109.6,904,1278,5158,38,146,170,251,81,111,-42,35.2,614,410,-9999,55,-23.77,537,-0.2,11.2,22.2,10.4,-11,-2.8,6.7,-2.5,-5.6,4.2,14.4,3.9,79,61,120,58,-9999,15,20.3,7.7,675,89,0,140,1,165,873,237,2249,1271,350,1288,0,3,29,6,1,26,89,30,63,17,1,30,0,161,353,100,0,116,233,61,56,53,54,57,7.43,-5.1,-19.27,-6.84
"10","1450","2010",52.15046,-123.402,974,3.8,15.9,-8.7,24.6,313,146,44.1,109,911,1264,5182,37,144,171,250,79,112,-42.2,35.1,613,410,-9999,55,-23.78,528,-0.2,11.2,22.1,10.3,-11.2,-2.9,6.6,-2.6,-5.7,4.1,14.4,3.8,78,61,120,58,-9999,15,20.3,7.9,678,91,0,142,1,161,867,234,2254,1279,356,1293,0,3,28,6,1,25,89,29,62,17,1,31,0,161,353,100,0,116,233,60,56,53,54,57,7.32,-5.05,-19.29,-6.76
